index,distance,distance_cum
0,102.230132544177,5151.737959174554
1,118.9537725337032,6415.050896134808
2,112.75637454263948,5897.496757099575
3,111.314868728306,5826.335812498281
4,129.0155029444136,7026.9641382321
5,116.09048195265622,6126.4530521338365
6,114.08768557561328,6728.945756951827
7,124.90396310766124,7280.002953296104
8,120.75595223424808,6827.840873951296
9,115.84903970253704,6454.204288678814
10,122.18428704215611,7405.269070060857
11,132.45754036671525,7518.617625601131
12,142.18649724921138,8831.645033627654
13,137.6045057401828,8281.59332495867
14,131.9772707703868,7590.046442545659
15,142.75853739794337,8354.884978262717
16,144.81022063376605,8672.9986163956
17,158.43610699584863,9664.60050907434
18,127.98437404620924,8686.333633933249
19,152.85941253321627,9672.415623824278
20,150.5091359353312,9794.836598943344
21,152.8201557386983,9538.702322643265
22,160.8757284365793,10463.958237684246
23,170.2791825209412,10310.876781341149
24,178.51610571598297,11846.005191624728
25,176.56726763474597,12320.08299485032
26,172.01162751395617,11522.728062399112
27,164.05486887014357,12693.529966089023
28,170.79812645342454,11619.755160931749
29,175.86074036009288,12599.398318967458
30,175.02285565034072,12864.426026838508
31,202.4475240648796,15108.01644823039
32,201.41499447657813,15916.60372064342
33,202.30422635229348,14767.459531009388
34,186.8956928342652,13637.389522925569
35,204.11271395971391,14988.44504943725
36,197.37274381231063,15218.481757389598
37,203.53623755980163,14666.3802964467
38,208.23544366893933,14973.64017198223
39,222.0225213801519,16332.989805911226
40,217.89905919943757,14630.286429185178
41,219.3513163853821,16316.832474472489
42,228.085510280684,17831.143457445458
43,202.97536796370144,15618.886195884776
44,221.92341021172143,18482.18195993103
45,228.58915109864685,17474.103496317057
46,241.2571242471401,19431.62458468154
47,236.55020608741816,17792.48445271205
48,257.66257004074146,20595.996407069026
49,260.16341018675166,20239.141236722473
50,243.82165613415063,19391.293613371956
51,264.7848182959136,19422.60237455321
52,237.8423847845459,19707.328484601865
53,232.84544230025205,17642.73283819715
54,255.63254878829497,20551.341562048936
55,257.37326978534503,20366.20914652503
56,264.73193989392365,20474.745566184694
57,262.82123201902846,20848.684682732382
58,279.5961373123742,22285.50100401604
59,273.79006556118867,21733.33816973361
60,289.98103386256145,23620.791328827236
61,301.22416901702957,24068.48225376914
62,307.77751704762323,26648.77030934073
63,293.82818108547724,24946.856675741736
64,279.47271780980697,24356.752718702057
65,305.3604427557702,24263.09454706881
66,312.94568218781995,25288.60470646809
67,319.02507738420815,26259.84360197143
68,315.41718405946114,26037.06794168652
69,336.65412517894384,27313.401179640736
70,323.2383021858641,26594.427499008132
71,355.79066879276075,29498.921149764104
72,350.91451950581927,27427.63947189039
73,371.0565994562016,30081.341093774394
74,354.14827403221943,29405.43123302224
75,353.73295011915417,29689.38281608427
76,377.1312768784896,31611.89700097101
77,373.7164700678845,31389.323137015872
78,350.71783530353855,29889.511521602355
79,385.3180504466408,32633.37112527604
80,351.3118272987689,29210.293750662622
81,365.23006447991105,30649.08892610023
82,356.0646008802335,30038.443435038374
83,389.2274399371144,32779.67681353799
84,424.7693491767032,34086.34713488672
85,438.4096258067334,34983.626898879425
86,432.7424176112159,35625.07684202239
87,406.4849320700584,34805.69683255889
88,404.0594015735805,33920.97774239416
89,400.7280873609934,34429.93592791018
90,398.63140869730773,33093.593065728
91,404.79500985066505,33867.51678230927
92,452.5505496626869,38521.60578169088
93,460.8014756920815,37682.79174901987
94,433.2481967648567,36251.56369041203
95,449.3806849431782,38304.65627048493
96,459.3832822382634,38339.252392293725
97,451.84399962819026,37687.65442422757
98,509.445777291362,41776.47242168731
99,480.6495604908008,39663.537613279026
100,125.51493934986384,5845.682081673618
101,133.96641370134532,5486.885637590782
102,134.56596895203484,5953.211066306989
103,145.8869425274243,6601.977658247565
104,132.53678734600442,6821.781145712606
105,151.95394038984313,7097.0417076412905
106,142.14781039467334,6567.937195193023
107,152.8953890737062,7348.651100712294
108,149.32849694549262,7633.996135707694
109,157.15597347857954,8768.54908180367
110,151.7893276880822,8264.570769253536
111,153.39165557487146,7511.918995835884
112,156.7577749267959,9429.032930263846
113,161.8177987738061,9457.88676185119
114,154.9580588417395,8577.200359091537
115,158.10755832660246,9697.42104891811
116,162.3822650414755,9876.7492121649
117,163.46559270990332,9503.431485521429
118,187.35260873550703,10269.635777377893
119,170.0764533967004,9930.918084447178
120,180.8452377034021,11105.14596932431
121,178.31432920547917,11831.69079210575
122,182.3403411206637,11551.008570683342
123,194.54562446891475,12138.626363802454
124,207.21003836687063,12787.045436690994
125,194.5533345897726,11855.810052459512
126,201.16411210750292,13361.740043871532
127,204.215572373901,13136.06497395624
128,191.835867344978,12803.211120652506
129,169.82049346295045,11551.846735479136
130,208.5713307240475,14081.526657291104
131,197.2460392504752,14205.854426960736
132,225.67454442182884,15397.482683867516
133,218.10318658836692,14788.062077229728
134,213.17832910500073,14581.888252212057
135,235.7265364781827,16886.377497853115
136,217.66028576660463,16165.224186506044
137,235.6162133640213,15991.97251748514
138,245.93901683140885,17752.526017443262
139,225.026665086607,15705.858270085084
140,226.72891302169648,15650.69078347662
141,263.03421830628804,17818.503528635618
142,262.88400483863603,18538.77029363059
143,241.977271659964,15800.671124987064
144,260.0057691667629,18669.75181945384
145,261.1934149246493,19381.614870799596
146,242.43349603551073,17545.338925196058
147,248.84935201844507,18171.95762706924
148,271.2821409529201,19988.7221202357
149,295.14911485552517,21202.911592514836
