category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
S,16297,16107,16200,16558,16154,16906,16204,16211,16192,16377,16032,16371,16045,16032,16437,16916,16177,16124,15955,16615,16516,16443,16278,17109,16524,16191,16578,16083,16704,16224,16629,16209,16555,16106,16243,16379,16588,16917,16184,16436,16297,16348,16603,16607,16351,16762,16156,15851,16540,15993,16224,15968,16072,16009,16355,16216,16363,16044,16044,16585,16367,16151,16719,16110,16006,16311,16347,16421,16200,16135,16520,16073,16677,16200,15992,15986,16056,16277,16460,16180,16115,16313,16121,16273,16550,16280,15901,16141,16287,16003,16368,16272,16071,16073,16640,16246,16508,16437,16471,16166
SBR,15,30,17,21,28,18,15,25,23,26,37,29,31,29,23,24,23,21,24,26,16,28,32,26,26,25,23,28,24,27,22,16,23,21,18,33,30,19,24,29,23,19,20,22,28,19,22,28,30,16,19,27,17,26,35,25,25,30,25,15,26,26,29,23,31,29,21,14,20,19,24,31,21,20,23,26,24,12,22,30,28,26,21,41,32,22,16,27,19,25,27,28,20,19,26,16,21,26,20,20
S2I+RI,9594,9848,9650,9270,9726,8880,9702,9741,9706,9523,9947,9471,9919,9849,9489,8854,9746,9822,9942,9271,9347,9417,9565,8592,9412,9710,9280,9800,9206,9703,9162,9679,9282,9927,9645,9459,9211,8900,9619,9393,9651,9608,9271,9330,9538,9031,9795,10234,9294,10068,9711,9919,9919,9946,9502,9633,9549,9937,9989,9208,9497,9676,9097,9794,10014,9630,9550,9419,9635,9727,9295,9830,9128,9739,9886,9953,9764,9633,9433,9685,9811,9518,9879,9724,9246,9610,10133,9707,9632,9985,9562,9541,9861,9821,9204,9562,9266,9355,9286,9814
S2V+RV,12336,12220,12346,12376,12225,12363,12320,12257,12291,12241,12190,12349,12239,12331,12291,12373,12262,12263,12297,12319,12335,12314,12301,12514,12216,12269,12361,12289,12308,12279,12407,12338,12379,12137,12333,12355,12371,12349,12415,12353,12268,12239,12348,12263,12325,12386,12184,12089,12378,12120,12260,12235,12163,12226,12335,12367,12291,12224,12166,12434,12352,12383,12376,12280,12133,12267,12248,12388,12377,12338,12403,12308,12416,12255,12341,12277,12220,12300,12325,12315,12200,12369,12193,12192,12392,12310,12171,12362,12287,12223,12232,12379,12268,12329,12372,12392,12443,12403,12464,12235
currently_infected,2,39,31,19,111,77,3,10,32,77,38,24,10,3,4,77,36,14,26,13,30,42,68,3,66,49,2,44,2,11,24,2,5,53,5,18,44,59,2,33,5,30,2,22,2,46,87,42,2,47,30,95,73,37,17,3,16,9,20,2,2,8,23,37,60,7,78,2,12,25,2,2,2,30,2,2,180,22,4,34,90,18,30,14,24,22,23,7,19,8,55,24,24,2,2,28,6,23,3,9
