k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,12796,12797,12795,12796,12795,12795,12795,12795,12794,12794,12794,12797,12796,12795,12796,12795,12795,12795,12795,12797,12795,12795,12795,12794,12794,12796,12796,12797,12796,12796,12796,12795,12796,12795,12796,12796,12794,12794,12795,12796,12797,12796,12796,12796,12794,12793,12794,12796,12796,12795,12797,12797,12795,12794,12796,12797,12796,12797,12794,12797,12796,12796,12796,12796,12796,12795,12796,12793,12795,12796,12795,12797,12796,12797,12796,12796,12796,12795,12796,12795,12793,12795,12796,12797,12797,12795,12797,12795,12796,12796,12794,12795,12796,12797,12794,12797,12796,12796,12795,12794
2.0,7953,7950,7954,7953,7953,7952,7952,7954,7953,7953,7953,7952,7952,7953,7953,7952,7951,7954,7952,7951,7954,7954,7950,7953,7954,7953,7952,7952,7953,7953,7952,7953,7953,7954,7954,7952,7953,7954,7953,7953,7951,7950,7954,7952,7951,7954,7952,7953,7954,7954,7953,7952,7953,7953,7952,7953,7952,7953,7951,7951,7953,7953,7951,7953,7954,7953,7954,7953,7952,7952,7954,7952,7952,7952,7952,7954,7953,7953,7953,7951,7954,7954,7952,7952,7953,7954,7953,7954,7952,7952,7953,7953,7954,7954,7953,7953,7953,7953,7952,7954
3.0,4958,4958,4957,4957,4958,4958,4956,4958,4957,4958,4956,4958,4957,4958,4957,4957,4957,4958,4958,4958,4958,4958,4957,4958,4957,4955,4958,4958,4957,4957,4957,4957,4957,4957,4958,4957,4955,4957,4957,4957,4958,4958,4957,4957,4956,4958,4956,4956,4957,4958,4957,4958,4958,4958,4958,4956,4958,4957,4957,4958,4958,4958,4957,4958,4957,4958,4956,4958,4957,4958,4956,4957,4956,4958,4956,4957,4958,4958,4958,4958,4956,4958,4957,4956,4956,4958,4957,4958,4958,4957,4957,4956,4958,4956,4958,4955,4957,4957,4958,4958
4.0,3130,3130,3131,3132,3130,3132,3132,3131,3131,3132,3131,3131,3132,3132,3131,3130,3132,3131,3132,3131,3132,3132,3132,3132,3131,3132,3132,3132,3130,3132,3132,3132,3132,3132,3131,3132,3132,3132,3132,3132,3129,3132,3132,3132,3131,3132,3132,3131,3132,3132,3131,3131,3132,3132,3132,3132,3132,3131,3132,3132,3131,3129,3132,3132,3132,3132,3132,3132,3132,3132,3132,3132,3132,3132,3132,3131,3131,3131,3132,3131,3131,3132,3131,3132,3131,3132,3132,3131,3131,3131,3129,3132,3131,3131,3132,3132,3131,3130,3131,3132
5.0,2054,2054,2055,2054,2054,2055,2054,2054,2055,2053,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2054,2053,2055,2055,2055,2053,2055,2055,2054,2055,2054,2054,2055,2055,2055,2053,2054,2055,2055,2055,2054,2055,2055,2055,2055,2055,2054,2055,2053,2055,2054,2055,2055,2055,2054,2054,2055,2055,2055,2055,2053,2054,2055,2055,2055,2054,2053,2055,2055,2055,2055,2055,2055,2053,2054,2054,2055,2053,2055,2054,2055,2055,2055,2054,2054,2054,2054,2053,2054,2055,2055,2053,2055,2055,2055,2055,2055,2055,2055,2054
6.0,1418,1420,1419,1420,1420,1420,1420,1420,1420,1420,1419,1419,1420,1420,1420,1419,1420,1419,1420,1420,1420,1419,1420,1420,1420,1420,1420,1420,1419,1420,1419,1420,1420,1420,1420,1418,1417,1420,1420,1420,1420,1417,1419,1420,1419,1420,1420,1419,1418,1420,1420,1419,1420,1418,1419,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1419,1419,1419,1420,1420,1420,1419,1420,1419,1420,1420,1420,1420,1420,1419,1420,1420,1420,1419,1419,1419,1420,1420,1419,1420,1420,1418,1419
7.0,1025,1026,1025,1026,1026,1026,1026,1026,1025,1025,1025,1026,1026,1026,1026,1025,1026,1026,1026,1026,1026,1025,1026,1026,1025,1024,1026,1026,1026,1025,1026,1025,1026,1026,1024,1026,1026,1026,1026,1026,1026,1025,1026,1026,1025,1026,1025,1025,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1025,1025,1026,1026,1026,1026,1026,1026,1026,1025,1026,1026,1025,1026,1024,1025,1026,1026,1025,1026,1026,1025,1025,1026,1026,1026,1026,1026,1026,1024,1026,1026,1026,1026,1025,1025,1026,1026
8.0,711,711,711,711,711,711,711,711,710,711,711,711,711,711,711,711,710,711,711,711,711,711,711,711,709,710,711,711,711,711,711,711,711,711,711,711,711,711,711,710,711,711,710,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,710,711,711,711,711,711,711,711,711,711,711,711,711,711,710,710,711,711,711,710,711,711,711,711,711,711,711,711,710,711,711,711,711,710,710,711,711
9.0,526,525,526,526,525,526,525,526,526,526,526,526,524,526,526,526,526,526,526,526,526,526,526,526,525,524,526,526,526,526,526,526,525,526,526,526,526,526,526,526,525,526,526,526,526,525,526,526,526,525,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,525,526,526,526,526,526,526,526,526,526,526,526,526,526,524,525,525,526,525,525,526,526,526,526,526
