category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
S,15027,14812,14748,15141,14930,15520,14842,14944,14655,15072,14901,14937,14850,14799,15154,15500,14934,14640,14773,15244,15151,15122,14946,15520,15307,14818,15223,14739,15474,15042,15149,14748,14951,14988,14732,14975,15246,15431,14702,14974,14812,15033,15171,15229,14920,15445,15016,14791,15091,14756,14909,14640,14974,14657,15018,14773,15233,14685,14894,14860,14953,14632,15235,14794,14756,14980,15141,14980,14773,14745,14919,14698,15149,15018,14507,14586,14732,14803,15086,14930,14901,14849,14815,15147,15147,14944,14817,14669,14743,14850,15215,14818,14640,14586,15445,14683,14980,14980,14840,14944
SBR,5426,5645,5560,5544,5521,5546,5548,5465,5623,5532,5635,5626,5411,5512,5527,5529,5524,5602,5444,5500,5519,5561,5518,5546,5474,5520,5472,5434,5468,5459,5514,5560,5565,5403,5559,5503,5505,5503,5556,5551,5645,5545,5588,5523,5506,5462,5450,5484,5553,5490,5524,5602,5551,5520,5428,5487,5387,5486,5489,5607,5480,5584,5550,5509,5490,5504,5544,5522,5444,5501,5588,5441,5514,5428,5421,5467,5559,5557,5602,5400,5635,5604,5585,5467,5467,5465,5414,5559,5597,5411,5484,5520,5602,5467,5462,5559,5480,5480,5552,5465
S2I+RI,8337,8370,8480,8128,8376,7706,8431,8419,8546,8216,8304,8240,8575,8500,8108,7770,8332,8632,8602,8042,8171,8121,8350,7706,8067,8520,8114,8678,7835,8311,8155,8480,8283,8395,8564,8342,8030,7934,8575,8297,8370,8217,8020,8036,8370,7854,8335,8568,8170,8595,8387,8632,8297,8664,8369,8554,8153,8701,8462,8345,8330,8606,8021,8497,8595,8334,8128,8320,8602,8560,8309,8679,8155,8369,8917,8747,8564,8514,8167,8498,8304,8339,8475,8185,8185,8419,8638,8545,8464,8575,8071,8520,8632,8747,7854,8602,8359,8359,8408,8419
S2V+RV,9430,9383,9377,9391,9374,9445,9400,9359,9361,9356,9359,9376,9346,9389,9399,9413,9389,9326,9393,9380,9386,9392,9374,9445,9333,9355,9362,9338,9422,9387,9372,9377,9377,9400,9354,9405,9402,9326,9390,9371,9383,9365,9403,9352,9381,9438,9386,9351,9377,9303,9369,9326,9371,9360,9389,9357,9425,9321,9328,9370,9413,9396,9401,9420,9303,9366,9391,9364,9393,9380,9364,9383,9372,9389,9355,9349,9354,9344,9381,9381,9359,9395,9337,9409,9409,9359,9345,9402,9376,9346,9374,9355,9326,9349,9438,9367,9373,9373,9412,9359
currently_infected,24,34,79,40,43,27,23,57,59,68,45,65,62,44,56,32,65,44,32,78,17,48,56,27,63,31,73,55,45,45,54,79,68,58,35,19,61,50,21,51,34,84,62,104,67,45,57,50,53,100,55,44,51,43,40,73,46,51,71,62,68,26,37,24,100,60,40,58,32,58,64,43,54,40,44,95,35,26,8,35,45,57,32,36,36,57,30,69,64,62,100,31,44,95,45,33,52,52,32,57
