k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,9889,9827,9715,9902,9799,9862,9811,9874,9777,9869,9765,9779,9783,9862,9914,9947,9813,9735,9741,9832,9882,9885,9899,9863,9910,9805,9925,9782,9899,9862,9907,9714,9865,9781,9790,9826,9810,9945,9727,9777,9826,9885,9873,9938,9843,9918,9846,9783,9830,9765,9845,9734,9778,9735,9828,9840,9816,9713,9961,9802,9882,9797,9942,9833,9766,9869,9902,9753,9740,9807,9812,9786,9907,9829,9810,9818,9790,9795,9829,9789,9766,9763,9817,9864,9863,9872,9853,9728,9746,9783,9859,9803,9734,9818,9919,9848,9775,9775,9810,9873
2.0,5646,5664,5561,5657,5610,5790,5603,5706,5614,5670,5688,5626,5567,5647,5638,5838,5654,5604,5634,5744,5652,5637,5597,5789,5732,5642,5647,5646,5762,5568,5670,5563,5615,5637,5667,5668,5772,5706,5545,5687,5665,5634,5774,5702,5671,5806,5702,5624,5723,5641,5668,5605,5686,5647,5694,5627,5700,5546,5597,5642,5595,5561,5703,5577,5639,5641,5657,5651,5634,5600,5702,5577,5668,5694,5540,5578,5669,5677,5740,5574,5687,5635,5585,5648,5648,5706,5571,5647,5707,5568,5734,5643,5604,5579,5806,5549,5622,5623,5585,5705
3.0,3385,3347,3374,3372,3454,3503,3383,3386,3324,3377,3406,3436,3362,3299,3358,3431,3369,3357,3303,3438,3441,3433,3352,3503,3352,3329,3415,3357,3484,3369,3465,3373,3391,3345,3356,3318,3456,3398,3436,3414,3346,3362,3426,3363,3418,3415,3357,3341,3400,3350,3324,3358,3414,3345,3392,3348,3402,3340,3324,3410,3313,3322,3412,3334,3351,3398,3371,3339,3303,3361,3417,3365,3465,3391,3289,3279,3356,3371,3349,3367,3406,3383,3336,3386,3388,3387,3370,3305,3347,3362,3410,3329,3358,3279,3414,3401,3393,3393,3391,3387
4.0,2157,2175,2151,2202,2150,2183,2139,2090,2173,2142,2166,2200,2131,2118,2154,2219,2116,2141,2153,2149,2128,2180,2130,2183,2196,2124,2169,2134,2174,2174,2130,2151,2186,2185,2133,2138,2170,2149,2136,2164,2175,2178,2140,2145,2156,2207,2170,2141,2228,2132,2143,2141,2164,2104,2128,2118,2156,2082,2174,2165,2191,2124,2207,2131,2132,2147,2202,2171,2154,2157,2103,2146,2130,2127,2085,2095,2133,2116,2172,2158,2166,2170,2167,2159,2159,2090,2122,2132,2145,2131,2181,2125,2141,2095,2207,2132,2124,2124,2170,2090
5.0,1161,1146,1142,1186,1215,1191,1191,1158,1164,1186,1159,1206,1196,1149,1230,1213,1213,1172,1174,1234,1214,1180,1164,1191,1234,1189,1226,1157,1233,1200,1200,1142,1231,1192,1121,1186,1231,1205,1183,1193,1147,1196,1188,1173,1225,1205,1204,1169,1222,1143,1247,1172,1193,1178,1128,1165,1223,1170,1164,1202,1216,1200,1223,1143,1143,1211,1187,1205,1174,1187,1197,1189,1200,1128,1162,1168,1120,1155,1182,1127,1159,1202,1182,1254,1254,1158,1170,1165,1188,1196,1240,1189,1172,1168,1205,1159,1221,1221,1156,1158
6.0,777,774,793,821,753,858,761,757,787,771,815,777,764,785,787,793,768,759,775,788,817,841,780,858,765,802,815,769,809,772,760,793,771,813,772,820,800,806,770,767,774,773,828,822,776,805,780,792,744,743,734,759,767,731,784,751,747,786,780,766,813,768,832,778,743,795,821,806,775,778,789,738,760,785,779,758,772,752,806,732,815,770,764,800,800,757,762,785,803,764,807,802,759,758,805,754,804,804,807,757
7.0,575,566,544,591,577,597,615,580,583,562,567,566,565,584,569,568,584,585,561,554,572,541,570,597,567,573,609,538,558,577,579,544,571,549,546,566,562,569,556,562,566,567,537,568,544,583,562,541,580,567,562,585,562,551,611,578,579,585,560,563,552,572,578,589,567,548,591,556,561,553,558,539,579,611,551,560,545,563,581,577,567,564,563,562,562,581,554,564,554,566,553,573,585,559,583,563,568,568,585,581
8.0,388,359,359,371,395,385,368,363,383,368,371,361,369,382,374,378,367,348,382,355,396,369,376,385,404,351,379,344,381,380,390,359,349,391,373,401,384,400,366,367,359,372,398,357,377,410,369,355,385,382,326,348,367,349,389,374,362,372,358,371,386,366,380,378,382,379,371,379,382,374,372,363,391,389,364,368,373,390,391,344,371,369,366,391,390,363,367,362,368,369,366,351,348,368,410,366,360,359,384,363
9.0,288,290,254,248,273,263,250,250,255,263,240,267,253,288,275,272,236,250,268,272,266,243,234,263,257,251,243,259,267,246,250,254,271,260,270,253,280,266,242,246,290,259,287,251,253,245,269,255,285,247,276,250,246,258,253,252,282,237,258,260,268,274,268,246,247,253,248,260,268,246,248,252,250,253,260,245,270,240,271,258,241,235,272,270,270,250,277,244,287,253,242,251,250,245,245,268,258,258,259,250
