k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,10025,10028,9949,10059,9931,9974,9969,10029,9926,10029,9944,9980,9980,9998,10057,10084,10002,9905,9865,9988,10084,10055,10052,9996,10104,10015,10090,9965,10039,9993,10126,9970,10072,9971,9938,9980,10001,10125,9904,9961,10026,10075,10045,10105,10057,10083,9977,10021,9995,9915,9968,9924,9983,9908,9936,9987,10031,9852,10095,9981,10088,9968,10038,10030,9899,10013,10016,9952,9883,10000,9948,9953,10103,9971,9923,9986,9937,9994,10040,9970,9975,9979,10017,10058,10058,10038,10001,9934,9927,9966,10022,10012,9934,9977,10063,10004,9978,9997,10010,10031
2.0,5810,5814,5776,5855,5788,5910,5731,5849,5768,5848,5754,5745,5715,5777,5820,5992,5757,5728,5824,5930,5830,5837,5795,5928,5849,5766,5795,5814,5881,5741,5851,5754,5798,5775,5827,5823,5909,5926,5751,5861,5836,5756,5953,5838,5819,5965,5851,5757,5893,5801,5816,5715,5839,5774,5866,5739,5790,5715,5800,5836,5780,5706,5884,5724,5825,5755,5825,5797,5823,5742,5805,5762,5893,5876,5691,5767,5852,5879,5881,5732,5766,5821,5755,5832,5846,5838,5749,5766,5844,5730,5847,5775,5728,5775,5959,5715,5839,5806,5760,5852
3.0,3482,3446,3465,3523,3561,3599,3457,3494,3469,3494,3489,3547,3471,3399,3464,3535,3431,3483,3462,3491,3532,3549,3472,3591,3482,3434,3509,3502,3573,3453,3520,3469,3551,3473,3472,3474,3539,3531,3544,3540,3445,3450,3489,3453,3511,3520,3500,3446,3540,3474,3424,3468,3523,3482,3533,3427,3488,3407,3453,3533,3442,3428,3546,3435,3452,3510,3504,3467,3454,3488,3516,3469,3533,3531,3453,3448,3477,3506,3463,3478,3470,3516,3416,3494,3487,3493,3486,3436,3481,3471,3478,3446,3458,3408,3519,3508,3518,3514,3493,3508
4.0,2219,2210,2207,2243,2209,2257,2224,2196,2238,2206,2259,2280,2177,2200,2238,2258,2174,2191,2209,2213,2190,2267,2208,2263,2230,2151,2208,2166,2242,2261,2183,2203,2239,2209,2173,2235,2252,2223,2176,2234,2236,2261,2214,2233,2192,2248,2235,2202,2251,2189,2214,2199,2228,2188,2175,2162,2234,2119,2239,2236,2283,2166,2256,2172,2170,2183,2239,2222,2197,2207,2187,2221,2177,2187,2184,2204,2187,2170,2223,2211,2254,2218,2214,2235,2250,2199,2158,2221,2194,2181,2235,2156,2208,2194,2251,2200,2194,2173,2223,2195
5.0,1216,1239,1193,1280,1269,1294,1254,1219,1242,1242,1201,1250,1262,1241,1308,1270,1247,1254,1236,1274,1267,1274,1243,1282,1275,1236,1268,1237,1284,1242,1239,1205,1278,1266,1191,1252,1273,1305,1252,1239,1237,1255,1259,1249,1294,1259,1266,1210,1272,1220,1298,1258,1252,1253,1207,1239,1283,1235,1234,1248,1289,1273,1319,1239,1213,1276,1273,1282,1241,1255,1257,1260,1242,1203,1248,1220,1198,1233,1264,1214,1211,1286,1237,1311,1308,1205,1252,1250,1252,1249,1303,1237,1240,1237,1245,1212,1259,1247,1219,1228
6.0,816,823,834,872,791,902,803,839,831,836,859,841,809,827,836,853,818,795,848,855,871,877,839,895,838,864,841,803,831,826,787,853,831,861,814,867,853,843,811,826,825,809,864,848,801,830,817,827,787,811,775,794,820,787,835,795,804,845,825,812,838,823,881,830,807,842,887,844,831,826,832,786,799,834,843,822,822,837,856,806,860,846,825,849,845,843,815,818,856,800,842,869,786,809,834,819,826,834,848,846
7.0,604,610,583,624,617,624,638,634,624,599,592,618,598,606,616,598,595,608,588,591,611,584,628,631,623,590,635,581,593,621,603,584,593,604,571,606,616,617,599,605,609,590,591,604,606,622,587,570,614,593,616,611,592,604,615,606,624,619,608,603,606,599,606,619,599,585,627,610,582,599,596,574,603,621,606,583,576,599,612,606,585,606,596,601,601,623,601,585,578,606,578,594,606,587,615,599,602,605,619,631
8.0,400,383,381,385,434,413,372,382,388,381,406,407,376,397,393,399,379,379,421,380,430,395,410,414,428,371,399,378,387,390,415,382,378,406,390,425,422,433,387,383,388,393,427,380,389,443,384,375,405,411,359,387,381,363,426,390,397,412,382,413,409,382,411,402,405,390,388,418,420,403,392,388,418,425,407,401,396,412,427,377,409,399,390,424,432,388,389,399,379,387,388,381,386,393,433,391,382,377,426,387
9.0,296,301,267,261,286,288,272,270,278,260,263,304,269,292,291,293,261,258,281,280,291,265,254,288,278,283,269,274,281,266,264,265,287,282,278,278,297,291,269,264,300,270,308,268,275,273,287,282,304,285,281,259,263,280,279,272,289,256,251,280,289,299,297,262,272,258,265,281,286,262,250,277,269,277,300,269,276,272,287,282,251,253,276,294,296,268,290,261,296,269,279,282,264,275,273,286,279,287,278,270
10.0,196,231,225,210,237,219,219,226,201,211,199,208,211,203,222,212,213,205,206,211,232,204,218,218,204,212,216,212,201,202,207,224,204,219,203,214,218,215,222,211,232,208,218,204,211,214,199,217,206,210,214,203,208,190,200,200,216,206,217,198,228,220,201,222,205,222,210,211,203,223,205,207,209,208,202,208,205,204,225,213,205,213,228,203,201,222,219,211,205,220,207,212,196,213,213,187,216,213,213,221
