k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,10283,10201,10186,10307,10149,10221,10218,10260,10184,10258,10180,10236,10203,10201,10260,10338,10231,10166,10085,10243,10292,10269,10277,10266,10314,10258,10372,10228,10301,10225,10395,10216,10318,10201,10219,10234,10234,10367,10197,10243,10231,10329,10318,10361,10277,10314,10189,10232,10279,10188,10179,10150,10203,10123,10203,10262,10240,10154,10310,10274,10343,10213,10280,10284,10183,10247,10240,10240,10141,10243,10281,10227,10396,10223,10217,10237,10155,10230,10247,10239,10205,10241,10223,10269,10308,10276,10196,10188,10208,10171,10254,10301,10190,10240,10327,10312,10296,10334,10324,10256
2.0,5954,5913,5888,6028,5875,6043,5877,5974,5925,5949,5830,5919,5875,5907,5952,6112,5901,5846,5916,6024,5941,5939,5902,6073,5982,5905,6000,5951,6077,5862,5977,5886,5977,5843,5983,5949,6010,6033,5902,5989,5992,5865,6073,5983,5945,6081,5931,5801,6041,5913,5964,5795,5862,5881,5998,5916,5875,5885,5870,6037,5944,5883,6045,5872,5944,5908,5927,5946,5959,5888,6024,5898,6053,5968,5844,5893,5939,6029,6000,5871,5847,5943,5853,5897,5993,5950,5826,5915,5953,5885,5968,5929,5821,5955,6070,5882,6019,5981,5917,5942
3.0,3548,3434,3538,3575,3541,3641,3523,3536,3519,3552,3509,3594,3510,3463,3506,3573,3517,3520,3496,3560,3545,3605,3508,3668,3523,3486,3590,3534,3612,3484,3596,3520,3655,3479,3538,3557,3598,3582,3594,3619,3496,3502,3551,3525,3566,3572,3525,3451,3560,3497,3479,3509,3520,3504,3586,3514,3523,3487,3471,3624,3517,3498,3581,3451,3516,3562,3528,3543,3526,3568,3650,3525,3614,3547,3520,3487,3487,3541,3492,3539,3484,3580,3436,3479,3576,3523,3491,3517,3548,3500,3500,3509,3513,3450,3543,3590,3594,3583,3619,3533
4.0,2230,2230,2230,2260,2193,2246,2216,2184,2240,2201,2207,2267,2180,2196,2219,2260,2220,2173,2193,2219,2173,2216,2225,2296,2222,2123,2224,2175,2240,2244,2225,2214,2256,2161,2248,2246,2251,2250,2198,2224,2256,2242,2205,2237,2212,2266,2215,2166,2292,2174,2228,2155,2162,2183,2214,2208,2225,2158,2247,2276,2277,2210,2270,2188,2179,2192,2215,2258,2221,2210,2223,2235,2223,2167,2213,2187,2196,2194,2252,2194,2204,2208,2172,2221,2247,2203,2143,2212,2204,2160,2200,2180,2168,2200,2235,2225,2234,2193,2252,2183
5.0,1235,1226,1207,1306,1260,1273,1269,1233,1267,1248,1203,1281,1247,1251,1294,1291,1238,1265,1243,1289,1252,1273,1241,1301,1266,1241,1309,1256,1324,1236,1304,1228,1296,1259,1236,1263,1280,1328,1277,1260,1259,1261,1281,1276,1316,1266,1261,1192,1300,1217,1307,1263,1219,1251,1255,1281,1289,1252,1239,1300,1303,1309,1332,1261,1231,1268,1257,1318,1262,1278,1316,1277,1300,1231,1279,1245,1188,1259,1242,1248,1224,1300,1255,1269,1294,1237,1237,1266,1279,1222,1289,1252,1235,1260,1260,1245,1306,1305,1258,1229
6.0,840,809,846,858,764,872,822,835,856,842,846,840,832,821,827,864,819,800,830,864,865,890,854,911,823,850,866,799,827,816,823,870,858,841,838,864,851,853,826,809,813,822,875,855,826,817,800,802,811,812,784,793,787,821,829,830,823,848,846,834,851,833,885,831,810,834,856,863,847,818,845,799,824,834,858,845,807,842,842,804,854,836,798,832,863,853,807,825,857,811,833,863,801,833,816,828,843,849,858,853
7.0,607,614,593,628,593,630,630,616,629,601,557,618,588,592,610,593,575,610,570,591,597,579,604,636,595,574,641,587,600,595,607,593,604,572,576,602,602,615,607,600,605,582,581,598,599,611,572,554,617,569,612,594,550,579,630,615,609,611,607,602,594,595,618,589,581,564,605,593,583,586,618,574,597,612,601,589,571,591,602,613,558,615,578,569,579,616,586,608,574,600,579,595,601,596,620,614,609,614,614,620
8.0,386,383,381,393,410,413,368,375,393,381,387,399,375,383,384,396,373,380,411,404,419,386,393,416,411,366,392,375,388,385,423,388,373,388,390,412,413,441,385,375,393,403,423,380,390,429,356,350,395,390,367,380,357,357,434,395,384,407,375,436,399,390,406,373,387,374,384,419,416,396,409,380,423,411,396,397,375,379,424,371,383,389,371,409,436,376,389,403,383,381,376,372,395,409,424,384,386,376,428,378
9.0,292,282,265,262,280,283,279,281,272,256,242,288,262,276,279,287,254,254,276,283,286,268,262,296,257,275,273,271,277,261,274,269,293,266,279,279,302,297,276,271,297,257,293,265,270,282,269,256,302,278,292,253,258,267,269,286,281,259,254,296,283,286,286,251,277,276,245,283,299,274,265,281,275,276,297,273,266,268,301,282,241,254,279,271,297,271,268,278,296,269,279,284,257,277,263,284,291,298,285,268
