k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
12.0,107,93,110,114,112,110,105,112,100,102,103,110,103,98,94,87,102,102,105,90,113,96,118,94,109,92,103,91,89,88,111,94,113,86,110,92,96,86,83,105,91,102,93,94,106,85,115,105,87,107,109,106,102,89,88,118,98,106,104,105,87,100,103,99,116,101,95,103,101,95,105,109,108,99,104,86,90,113,88,95,103,94,109,95,106,121,99,100,87,119,93,110,115,100,95,99,101,112,99,108
13.0,83,82,107,101,89,87,91,88,82,101,84,90,82,77,82,88,98,86,84,101,81,98,89,82,105,91,82,96,87,80,84,85,84,100,83,89,90,89,91,89,80,94,90,100,89,93,90,93,97,105,76,87,96,105,81,87,84,95,93,96,109,109,90,83,99,97,97,92,90,81,87,98,87,112,89,92,92,81,93,88,91,90,89,97,87,85,91,89,81,83,111,82,99,86,80,106,91,87,96,80
14.0,79,62,76,60,64,79,68,72,66,63,76,69,69,67,66,71,76,54,58,81,75,79,65,72,68,74,72,60,66,66,69,56,70,73,62,67,62,68,79,73,58,73,68,68,64,65,61,69,58,59,68,68,62,79,73,85,69,60,72,60,73,66,60,54,63,74,64,75,56,68,58,57,60,76,62,63,70,77,51,73,62,66,76,68,65,59,58,68,73,74,83,68,66,65,52,62,69,73,64,68
15.0,53,62,53,69,60,61,63,72,67,65,64,67,60,66,59,66,52,59,68,55,77,62,58,54,66,50,64,72,46,56,53,64,56,60,73,63,63,60,69,56,56,56,58,66,66,58,70,55,53,63,65,60,67,54,47,66,70,66,58,68,59,63,63,68,65,51,75,63,56,56,61,62,63,65,58,73,63,74,64,60,56,70,65,65,60,57,56,53,54,57,59,59,58,68,55,52,54,63,66,60
16.0,42,49,54,49,50,46,47,51,40,56,48,39,50,50,45,51,47,49,56,46,48,56,55,51,54,56,44,56,48,45,53,50,58,42,42,45,41,47,51,42,50,57,53,50,52,45,56,54,44,50,52,44,50,53,48,41,50,50,52,51,44,46,50,48,50,53,52,46,46,41,47,48,48,56,43,51,45,50,42,55,49,45,43,46,54,39,54,50,54,51,47,62,44,47,50,49,51,47,47,49
17.0,38,40,38,40,31,39,33,46,36,34,35,35,40,25,46,48,47,34,44,40,32,26,36,47,37,38,35,36,44,45,40,45,37,37,39,40,38,40,51,38,40,40,38,36,35,34,40,33,34,56,31,42,29,36,44,45,36,39,43,29,37,41,43,46,44,36,44,44,33,49,35,38,32,43,34,40,42,33,41,35,39,39,40,37,37,46,31,41,40,37,32,38,43,31,41,44,32,46,30,44
18.0,33,30,35,29,33,35,32,36,39,39,29,28,38,38,35,37,42,39,32,36,36,31,34,31,35,32,27,33,28,34,32,33,38,34,35,33,37,31,38,38,32,37,37,39,32,31,36,32,41,41,35,39,35,31,36,41,37,40,42,36,34,38,36,30,33,30,33,41,36,30,22,40,32,34,37,27,33,34,37,31,36,29,43,29,43,34,37,36,38,41,31,36,35,39,31,29,31,41,38,36
19.0,28,25,31,28,25,32,30,38,30,35,27,39,33,24,27,31,31,28,33,36,29,28,30,22,41,34,29,31,32,25,31,35,31,37,38,27,25,31,33,32,33,37,40,26,27,30,36,31,31,36,34,33,31,32,27,29,30,29,27,30,28,21,19,34,30,28,31,29,30,31,31,26,31,34,31,34,30,29,40,23,27,29,35,25,29,26,27,31,38,32,33,31,33,29,35,28,29,30,30,24
20.0,31,23,28,21,32,24,29,23,26,23,28,23,22,23,28,28,25,26,28,23,26,21,33,21,32,30,29,30,32,24,26,30,27,22,31,23,31,30,26,35,30,29,31,27,32,27,32,33,24,28,23,19,24,21,29,31,22,23,19,29,24,32,27,29,21,21,27,21,25,29,22,20,23,21,27,27,30,29,34,20,27,28,26,30,28,23,26,18,29,30,19,26,18,24,26,28,30,33,24,30
21.0,25,29,31,30,22,22,23,31,28,27,28,29,21,23,32,28,26,25,22,23,26,20,26,33,30,27,18,33,23,32,23,28,30,25,23,23,29,27,29,27,25,27,25,34,19,22,28,29,29,26,33,20,22,26,24,24,30,31,29,23,31,25,22,19,29,34,27,29,22,16,27,23,25,32,28,24,30,26,27,31,21,24,23,37,29,29,21,20,22,17,25,28,25,28,26,26,28,25,24,27
