k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,9925,9783,9875,9778,9799,9874,9830,9887,9885,9849,9762,9810,9800,9723,9678,9923,9833,9791,9859,9811,9862,9808,9800,9815,9907,9851,9856,9949,9854,9679,9788,9797,9848,9860,9899,9874,9811,9779,9923,9822,9795,9764,9788,9780,9751,9812,9885,9766,9756,9737,9727,9801,9893,9727,9731,9857,9653,9846,9761,9893,9715,9971,9916,9860,9779,9798,9862,9761,9791,9833,9783,9845,9874,9863,9743,9733,9780,9862,9785,9816,9825,9818,9852,9804,9883,9795,9791,9801,9717,9737,9727,9848,9859,9653,9797,9748,9766,9835,9892,9909
2.0,5647,5568,5635,5687,5564,5706,5722,5729,5624,5677,5623,5623,5610,5557,5609,5815,5742,5603,5733,5605,5709,5609,5564,5602,5669,5658,5603,5838,5571,5607,5628,5639,5612,5641,5597,5625,5655,5623,5814,5678,5639,5693,5669,5637,5635,5701,5636,5687,5620,5654,5545,5609,5675,5648,5550,5734,5629,5668,5631,5675,5563,5795,5735,5734,5687,5561,5705,5632,5604,5674,5625,5702,5697,5790,5577,5668,5622,5709,5607,5655,5634,5585,5604,5533,5635,5542,5604,5609,5587,5566,5648,5611,5624,5629,5639,5706,5688,5576,5674,5605
3.0,3415,3361,3395,3414,3348,3387,3401,3433,3399,3356,3375,3369,3454,3291,3332,3437,3439,3347,3410,3381,3395,3346,3347,3334,3465,3400,3344,3430,3370,3332,3360,3346,3296,3331,3351,3399,3369,3389,3437,3262,3347,3415,3356,3345,3347,3417,3433,3406,3400,3367,3437,3454,3351,3305,3435,3461,3404,3323,3307,3351,3374,3410,3494,3409,3414,3322,3416,3308,3346,3376,3340,3358,3363,3503,3335,3335,3389,3396,3323,3357,3398,3335,3317,3320,3363,3338,3347,3454,3379,3341,3305,3297,3366,3404,3347,3344,3405,3334,3352,3397
4.0,2168,2130,2167,2163,2184,2090,2228,2238,2139,2115,2190,2132,2150,2096,2099,2205,2149,2123,2181,2139,2166,2178,2184,2097,2130,2212,2172,2218,2122,2099,2137,2126,2149,2125,2131,2193,2117,2184,2205,2123,2127,2182,2133,2185,2149,2103,2181,2166,2148,2184,2135,2150,2177,2132,2158,2194,2156,2143,2185,2177,2151,2148,2220,2181,2162,2124,2175,2185,2123,2213,2141,2170,2073,2183,2118,2175,2184,2166,2163,2190,2104,2166,2146,2106,2178,2169,2123,2150,2135,2123,2131,2149,2190,2156,2127,2146,2166,2131,2177,2152
5.0,1226,1196,1176,1193,1189,1157,1223,1208,1178,1196,1230,1197,1214,1136,1127,1249,1234,1187,1240,1191,1217,1193,1189,1179,1200,1186,1155,1213,1169,1127,1178,1193,1156,1151,1164,1174,1213,1214,1249,1169,1193,1135,1121,1192,1205,1197,1180,1159,1177,1224,1183,1215,1194,1164,1198,1237,1185,1247,1210,1194,1142,1207,1220,1240,1193,1200,1206,1210,1187,1213,1169,1204,1181,1191,1123,1157,1214,1217,1167,1201,1160,1182,1192,1158,1196,1199,1187,1215,1204,1127,1165,1156,1168,1185,1193,1134,1159,1143,1194,1286
6.0,815,764,772,767,818,757,744,829,775,756,769,774,753,781,775,804,788,767,807,761,762,778,818,773,760,782,767,793,762,776,817,822,745,791,780,820,768,825,804,778,822,793,772,813,768,789,841,815,760,726,770,753,774,785,779,791,783,734,768,774,793,801,823,807,767,768,780,767,767,780,792,780,767,858,749,780,825,762,752,765,816,765,802,780,773,748,767,753,767,781,785,745,795,783,822,735,815,778,774,825
7.0,609,566,590,562,549,580,580,578,588,568,565,567,577,537,556,563,554,554,554,615,566,555,549,527,579,586,557,568,554,556,551,538,563,544,570,562,584,542,563,559,538,569,546,550,524,558,541,566,552,559,556,577,570,565,567,560,539,562,536,571,543,595,581,554,562,572,572,535,554,567,541,562,561,597,553,568,542,566,587,544,568,563,542,534,567,585,553,577,579,526,565,563,546,539,537,567,567,589,571,567
8.0,379,369,397,367,377,363,385,412,395,399,363,369,395,371,384,381,355,367,366,368,364,375,377,356,391,385,388,378,367,384,364,363,378,352,376,382,367,383,381,356,363,369,373,391,368,372,369,371,415,376,366,395,383,362,333,384,393,326,402,383,359,380,368,366,367,365,362,402,367,383,355,369,388,385,368,354,383,364,354,365,375,366,363,390,372,390,367,395,372,384,362,378,376,393,363,372,371,378,383,396
9.0,243,253,266,246,234,250,285,240,269,275,234,254,273,242,249,258,272,251,242,250,267,259,234,254,250,274,249,272,277,249,236,281,254,273,234,244,236,251,259,266,281,242,270,260,276,248,243,241,243,243,242,273,267,244,290,262,240,276,283,267,254,282,261,242,246,274,240,283,251,261,255,269,236,263,265,274,251,267,247,241,261,272,244,237,259,255,251,273,290,271,244,254,249,240,281,271,241,246,267,259
