k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,10306,10170,10198,10150,10175,10302,10247,10313,10330,10273,10102,10251,10172,10148,10070,10373,10185,10201,10243,10194,10266,10190,10202,10165,10327,10175,10119,10299,10213,10094,10174,10204,10203,10255,10250,10344,10254,10181,10327,10202,10279,10264,10146,10166,10161,10191,10266,10212,10129,10185,10169,10249,10216,10083,10215,10259,10169,10239,10168,10206,10177,10389,10273,10252,10187,10236,10258,10177,10190,10188,10172,10183,10229,10245,10210,10095,10213,10271,10250,10192,10192,10229,10181,10199,10301,10243,10211,10180,10165,10203,10162,10226,10166,10071,10216,10210,10198,10226,10259,10222
2.0,5971,5820,5914,5844,5834,5951,5964,5935,5827,5907,5941,5870,5926,5868,5814,6020,5942,5850,5945,5828,5925,5815,5821,5834,5988,5901,5734,6113,5834,5865,5871,5877,5826,5902,5853,5953,5893,5867,5980,5859,5925,5931,5926,5845,5801,5910,5937,5874,5865,5877,5846,5909,5984,5914,5858,5997,5831,5912,5854,5910,5851,6038,5924,5951,5906,5809,5964,5829,5809,5833,5776,5876,5973,6059,5858,5883,5889,5929,5874,5919,5902,5820,5905,5779,5840,5864,5891,5868,5812,5798,5925,5800,5871,5809,5858,5932,5902,5848,5949,5893
3.0,3553,3445,3525,3440,3461,3506,3557,3536,3540,3524,3463,3502,3568,3436,3427,3581,3536,3490,3517,3483,3575,3438,3473,3388,3557,3484,3473,3593,3515,3467,3474,3480,3491,3528,3422,3602,3470,3523,3551,3430,3529,3567,3472,3446,3418,3524,3576,3489,3489,3499,3558,3574,3510,3446,3486,3541,3515,3457,3463,3499,3498,3552,3553,3492,3568,3507,3578,3447,3482,3454,3467,3535,3569,3657,3459,3444,3552,3584,3464,3474,3525,3490,3416,3412,3502,3491,3491,3538,3447,3472,3500,3453,3503,3450,3483,3483,3540,3475,3519,3528
4.0,2197,2152,2189,2146,2206,2230,2257,2296,2256,2148,2195,2178,2198,2164,2166,2245,2191,2153,2190,2168,2169,2209,2217,2119,2171,2251,2167,2270,2193,2165,2191,2133,2217,2197,2203,2246,2184,2200,2212,2185,2163,2237,2159,2191,2131,2181,2190,2223,2185,2230,2186,2204,2223,2162,2186,2228,2232,2159,2175,2180,2250,2231,2230,2201,2160,2205,2245,2195,2124,2212,2174,2218,2174,2264,2197,2200,2214,2216,2211,2201,2166,2207,2187,2176,2223,2256,2147,2168,2154,2159,2195,2199,2215,2176,2163,2212,2266,2155,2237,2163
5.0,1279,1215,1256,1203,1255,1234,1278,1279,1256,1274,1287,1275,1274,1207,1205,1296,1264,1290,1303,1233,1269,1234,1252,1214,1249,1241,1225,1292,1276,1217,1258,1264,1236,1256,1247,1300,1236,1251,1296,1208,1268,1249,1203,1251,1193,1250,1269,1222,1212,1272,1283,1280,1268,1234,1223,1276,1268,1334,1281,1249,1216,1288,1312,1293,1248,1300,1266,1279,1253,1255,1179,1241,1216,1282,1177,1203,1273,1303,1233,1246,1226,1260,1242,1249,1213,1269,1280,1237,1238,1224,1249,1229,1256,1198,1280,1201,1241,1254,1273,1296
6.0,846,787,796,792,804,822,791,857,801,812,802,805,790,833,816,827,844,814,832,805,804,818,852,811,790,824,832,872,795,832,880,811,824,825,830,873,829,830,814,846,835,838,803,844,781,806,867,869,790,812,816,792,826,792,809,827,817,782,826,803,845,863,840,833,793,834,856,794,782,796,802,799,833,890,797,791,836,811,801,790,827,842,815,844,820,825,819,791,794,853,812,799,796,770,822,790,879,813,807,811
7.0,613,565,611,537,552,604,609,606,610,610,587,578,602,559,590,593,556,578,575,627,593,589,575,541,588,612,569,600,601,585,606,533,610,581,569,591,598,590,590,578,551,613,565,574,561,593,581,569,595,619,582,610,590,554,563,601,563,611,585,578,565,621,602,581,570,590,587,575,566,571,551,607,580,612,576,581,618,600,598,591,582,585,534,557,586,598,589,583,555,549,582,604,556,530,558,582,586,605,598,598
8.0,382,356,412,359,367,377,398,421,409,395,370,400,404,388,391,389,382,386,376,363,378,391,381,377,407,400,402,399,406,412,386,390,409,389,387,398,373,370,394,351,390,387,391,381,361,370,390,388,407,400,370,411,401,381,333,389,401,352,403,402,372,409,387,370,364,387,391,397,382,380,356,378,394,411,385,389,381,386,340,382,412,390,385,406,386,398,402,406,362,395,403,381,364,378,391,368,411,390,401,406
9.0,263,257,278,244,236,276,289,245,274,264,237,263,279,272,249,272,270,267,267,262,270,270,252,262,265,280,251,274,282,271,258,271,250,272,251,277,262,256,284,254,285,258,269,274,258,241,268,250,266,275,260,275,274,267,277,281,263,287,286,268,257,270,267,252,247,284,249,285,278,268,255,257,273,285,292,289,275,282,240,252,272,266,251,254,251,276,270,268,282,263,261,263,254,243,280,281,265,252,278,274
10.0,217,199,187,197,189,219,193,187,219,206,199,205,219,193,210,203,202,209,199,207,206,192,194,185,188,210,178,210,202,211,202,206,191,211,214,229,211,193,194,184,221,220,196,203,187,192,208,195,186,197,208,223,211,204,209,180,200,199,191,199,222,213,201,203,208,225,194,190,223,213,206,200,198,215,204,196,203,223,191,191,214,206,198,203,191,205,218,209,193,196,213,188,195,196,224,198,196,218,216,208
11.0,146,129,137,120,139,149,127,157,156,154,135,149,137,133,138,140,145,146,149,151,140,126,140,144,132,140,148,148,136,140,138,135,131,146,123,148,143,135,126,117,137,143,154,132,155,129,141,132,140,131,160,134,138,139,140,130,143,146,139,139,149,149,144,157,136,164,149,153,145,132,114,146,137,158,130,145,135,145,130,135,137,142,149,146,127,146,145,129,142,153,139,151,140,143,137,134,135,125,150,145
12.0,101,93,107,96,101,107,98,113,93,94,98,101,98,97,91,89,100,97,99,92,109,90,111,82,99,95,96,83,91,88,111,90,108,87,106,94,88,83,85,96,88,105,88,98,88,83,112,95,83,91,100,101,109,94,92,104,100,99,97,101,73,92,108,101,103,95,89,97,93,91,100,105,98,93,101,89,90,117,86,88,93,94,98,96,102,116,97,98,85,103,101,106,102,97,87,104,106,104,102,109
13.0,75,75,95,82,82,87,87,83,82,92,81,85,81,80,70,94,88,83,75,99,83,93,89,68,95,86,78,88,91,73,79,85,83,98,75,91,83,79,92,84,74,90,76,98,81,84,87,98,91,93,76,83,93,101,82,76,78,89,74,89,106,104,82,84,90,94,88,78,72,75,81,85,93,109,95,79,83,84,78,79,92,88,90,85,80,84,81,87,68,85,105,75,95,78,83,97,99,82,88,81
14.0,67,56,67,57,60,67,69,65,59,65,73,66,69,64,64,59,75,53,66,68,71,77,65,73,61,62,70,58,60,69,69,65,65,73,64,69,64,60,63,64,63,65,68,53,54,60,60,59,54,52,65,63,66,75,61,85,57,58,70,63,72,59,56,54,55,71,69,67,56,71,45,55,58,84,58,61,72,69,54,69,64,61,71,65,61,66,60,68,65,65,81,58,61,59,52,62,68,63,74,61
15.0,50,58,50,52,58,54,60,66,62,59,61,65,55,62,54,66,47,57,62,59,64,52,51,54,56,49,58,68,43,56,48,58,56,60,66,62,61,54,68,54,59,56,53,62,62,55,59,43,54,64,63,59,65,58,51,58,65,59,59,64,56,62,58,65,57,51,67,50,54,55,48,56,57,64,51,68,56,70,60,54,55,69,63,65,51,53,52,48,54,59,61,59,53,61,61,52,50,58,66,53
16.0,40,43,46,37,50,47,48,41,40,56,42,34,44,48,47,46,36,48,50,42,38,42,47,52,51,45,43,56,40,41,49,49,54,39,36,45,43,43,46,37,51,61,44,41,44,40,51,41,53,47,48,46,50,40,42,37,51,47,47,44,41,45,41,47,46,54,45,40,37,44,47,53,46,49,43,39,42,39,43,42,44,42,44,39,51,40,50,49,47,45,41,51,43,47,49,46,46,47,46,39
17.0,44,38,34,31,34,36,32,43,36,32,32,30,33,25,40,37,43,34,45,38,35,22,38,42,34,33,40,36,41,44,42,45,36,37,29,46,37,34,35,33,39,33,37,35,30,28,25,38,31,47,35,36,35,37,40,40,34,44,35,36,34,42,38,39,40,36,33,39,36,38,31,37,29,42,38,33,40,36,34,40,39,34,38,36,34,38,34,32,38,30,34,33,40,29,38,40,40,39,38,40
18.0,33,26,29,19,32,38,26,28,37,36,30,29,33,41,28,33,37,36,38,31,35,26,27,22,31,35,27,33,28,29,27,26,38,35,27,34,33,29,36,36,30,35,29,38,28,25,37,34,36,32,28,33,28,26,37,33,35,38,33,34,28,35,33,30,26,34,34,28,37,28,20,35,29,32,38,26,29,30,34,27,35,30,37,27,36,31,38,31,24,39,35,39,30,32,26,30,30,36,34,34
19.0,24,24,25,20,26,27,24,38,29,32,28,32,33,27,24,29,32,29,28,31,26,31,31,23,34,28,26,30,35,25,25,29,30,38,32,25,24,28,28,33,31,40,29,27,23,25,33,29,26,30,31,38,29,30,23,25,27,30,22,27,28,28,23,26,21,33,27,27,27,31,28,26,29,37,28,35,29,21,39,20,26,26,31,21,27,26,26,28,27,28,27,26,27,29,28,25,30,28,30,26
