category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
S,24872,24871,24860,24879,24874,24869,24869,24867,24871,24878,24879,24876,24869,24879,24859,24870,24876,24878,24861,24868,24872,24875,24874,24868,24869,24870,24876,24868,24871,24859,24868,24872,24875,24877,24873,24875,24869,24878,24870,24879,24872,24879,24870,24876,24864,24879,24867,24862,24868,24878,24879,24869,24879,24877,24879,24867,24878,24875,24876,24879,24875,24872,24863,24861,24879,24871,24876,24876,24878,24870,24871,24867,24871,24871,24878,24879,24878,24872,24873,24867,24864,24862,24876,24875,24866,24872,24878,24869,24878,24866,24877,24875,24875,24878,24872,24872,24862,24878,24879,24878
SBR,13361,13361,13361,13361,13361,13361,13361,13360,13361,13361,13361,13361,13360,13361,13359,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13359,13361,13361,13361,13361,13361,13360,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13360,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13360,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361,13360,13361,13361,13360,13361,13360,13361,13361,13361,13361,13361,13361,13361,13361,13361,13361
S2I+RI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S2V+RV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
currently_infected,11,12,23,4,9,14,13,17,12,5,4,7,15,3,26,13,7,5,22,15,11,8,9,14,14,13,7,14,11,26,15,11,8,6,10,9,14,5,13,4,11,4,12,7,18,4,16,21,15,5,4,15,4,5,3,16,5,8,7,4,8,11,20,22,4,12,7,7,5,13,13,16,12,12,5,4,5,11,10,16,19,20,7,8,18,11,5,15,5,18,5,8,8,5,11,11,21,5,4,5
