category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
S,16387,15855,16091,15829,15813,16214,16374,16614,16410,16242,15967,16137,16227,15660,15707,16682,16370,15821,16417,16040,16363,15954,15970,15846,16340,16148,15848,16858,16037,15807,16083,15999,16031,16191,16068,16492,16126,15954,16630,15931,16085,16325,15982,16064,15668,16069,16449,16150,16044,16084,16058,16257,16340,15808,15917,16431,15960,16090,15953,16177,16095,16724,16548,16396,16111,16121,16398,15948,15709,16155,15781,16109,16252,16901,15754,15876,16087,16485,15891,16060,16078,16123,15898,15830,16211,16022,15940,16063,15922,15750,16059,15912,15910,15689,16015,15992,16340,16037,16411,16241
SBR,20,15,39,27,25,26,16,15,25,21,26,19,33,21,25,23,36,26,19,19,20,25,21,24,21,16,32,26,17,19,21,22,26,15,28,22,22,21,24,17,26,27,15,13,19,32,36,30,24,29,26,28,17,24,26,24,31,28,29,24,16,23,23,27,33,18,31,27,20,31,24,29,34,21,23,27,16,21,23,24,23,19,31,28,27,26,28,27,37,17,33,25,26,23,28,29,19,30,25,31
S2I+RI,9587,10270,9925,10283,10315,9801,9581,9368,9551,9748,10043,9914,9642,10323,10324,9275,9606,10060,9592,9874,9669,10081,10102,10306,9621,9845,10217,9036,9934,10164,9881,10057,9926,9790,9998,9365,9864,10142,9357,10104,9853,9560,9999,9961,10514,10016,9476,9900,10021,9887,9846,9652,9608,10165,10044,9504,9982,9930,10159,9792,9880,9240,9459,9658,9844,9761,9548,10033,10263,9865,10288,9882,9693,8903,10252,10224,9879,9438,10232,9921,9856,9901,10130,10140,9794,9861,9878,9971,10181,10236,9844,10082,10127,10478,9933,10007,9533,9868,9498,9735
S2V+RV,12247,12084,12177,12088,12069,12199,12270,12219,12255,12225,12144,12172,12314,12207,12168,12256,12218,12334,12208,12225,12186,12178,12149,12046,12236,12229,12139,12322,12234,12251,12247,12163,12258,12246,12143,12362,12229,12123,12185,12173,12272,12330,12186,12171,12019,12111,12281,12161,12149,12227,12301,12305,12269,12215,12211,12283,12232,12194,12095,12179,12235,12252,12197,12161,12248,12340,12263,12143,12244,12180,12085,12220,12254,12385,12203,12108,12260,12281,12096,12147,12275,12199,12177,12242,12172,12333,12394,12153,12067,12239,12295,12195,12179,12023,12243,12213,12347,12279,12308,12229
currently_infected,3,20,12,17,22,4,3,28,3,8,64,2,28,33,20,8,14,3,8,86,6,6,2,22,26,6,8,2,22,3,12,3,3,2,7,3,3,4,48,19,8,2,62,35,24,16,2,3,6,17,13,2,10,32,46,2,39,2,8,72,18,5,17,2,8,4,4,93,8,13,66,4,11,34,12,9,2,19,2,92,12,2,8,4,40,2,4,30,37,2,13,30,2,31,25,3,5,30,2,8
