t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,4.928190576863454,4.927144818078297,4.924896812450301,4.929916321459333,4.929131854646397,4.928922674038094,4.926517416071091,4.924374093959054,4.92803370597157,4.929654825586285,4.929811722277866,4.928242867715581,4.926674262827776,4.929602527243924,4.926778828719312,4.9270925330519075,4.928504326137456,4.929916321459333,4.926987963831379,4.9270402483029345,4.929236446615047,4.928922674038094,4.929131854646397,4.929445633881337,4.929079559078199,4.9281382862887435,4.92955022917898,4.9276676836000695,4.927510821030669,4.926831112081205,4.928242867715581,4.929654825586285,4.928661204519574,4.926778828719312,4.927353960958013,4.929654825586286,4.92730167482196,4.9270402483029345,4.927144818078297,4.929445633881337,4.929445633881337,4.929445633881337,4.928765791494734,4.927510821030669,4.926778828719312,4.929707124206064,4.928452033898249,4.929759423103257,4.929445633881337,4.927144818078297,4.926883395720513,4.9268833957205125,4.929654825586285,4.9293933366486415,4.92955022917898,4.927929126764062,4.92949793139145,4.929341039693359,4.92955022917898,4.929602527243924,4.929602527243924,4.926778828719312,4.92730167482196,4.926778828719312,4.929654825586286,4.928922674038094,4.928033705971569,4.927353960958013,4.92955022917898,4.9267265456348355,4.927981416229108,4.9267265456348355,4.927563108276387,4.9272493889633235,4.929707124206064,4.929811722277866,4.92955022917898,4.92955022917898,4.927615395799521,4.927249388963323,4.92803370597157,4.925680942202689,4.929759423103257,4.929602527243924,4.926674262827776,4.92939333664864,4.929811722277865,4.926569698045902,4.929131854646398,4.9267265456348355,4.929759423103256,4.928765791494733,4.92730167482196,4.92955022917898,4.929445633881337,4.927353960958013,4.929811722277866,4.929393336648641,4.929707124206064,4.9272493889633235
1.0,4.913833014069074,4.9167818595000385,4.901230105982619,4.929916321459333,4.922038700290759,4.911190125943637,4.917404755869714,4.909330716841038,4.9150060089244345,4.928110289406131,4.929811722277866,4.927113086933497,4.910065666258105,4.929602527243924,4.905267035854855,4.918634438216293,4.924655902117683,4.926907670447096,4.907728316818974,4.914347161236309,4.9233415160489855,4.923791516379968,4.922038700290759,4.913877149898369,4.913905279164755,4.917380610781866,4.924394535544624,4.918891762992678,4.910411179268748,4.905319219963088,4.9088128987514805,4.919265318366213,4.9221712764717385,4.923690785792125,4.9229514088485455,4.920366474900609,4.914636410154814,4.92560064238041,4.918686684494578,4.929445633881337,4.919056328092178,4.929445633881337,4.915134569673798,4.9199523650024135,4.906195027259368,4.929707124206064,4.911551488540609,4.901912535325449,4.912728327920616,4.924189246819577,4.926883395720513,4.910274476382314,4.929654825586285,4.9293373696100815,4.92955022917898,4.911916969236238,4.929469948426321,4.921962232678931,4.921206421835705,4.929602527243924,4.9245755991509,4.9141463346647996,4.9077846836056205,4.907519541725493,4.929654825586286,4.917304229537173,4.925021826972355,4.919011927248954,4.926541685110753,4.911427113136988,4.920254201871986,4.913796799029778,4.913700441079549,4.911455270053536,4.928999276004139,4.929811722277866,4.928110289406131,4.923655139638544,4.918666446728123,4.914841304316854,4.906612509152685,4.8998784006597536,4.927583681599801,4.9287061318981715,4.911704036907478,4.9169666695226795,4.926803101821024,4.9099612628609774,4.9291561643147235,4.913061661774988,4.929703463560394,4.922275800032813,4.919558548123523,4.929522246749235,4.919056328092178,4.917489042545023,4.901964698175359,4.926541685110753,4.929707124206064,4.924346058561319
2.0,4.84559655296566,4.88415537339318,4.8348600013404095,4.906058240412053,4.894837270653322,4.863187048934029,4.861911123970301,4.884032206685887,4.85648636611639,4.894025581784187,4.903766625123055,4.892965059885388,4.861107757023735,4.903344972412867,4.870979824345984,4.8840369139413164,4.891988369438982,4.906182397154927,4.885992534088496,4.878564934024833,4.884188368463994,4.887569325620171,4.894837270653322,4.893064808306347,4.869405777054075,4.862048586631932,4.886977227923981,4.879317344386131,4.8695401652576304,4.871031849582486,4.871634085881739,4.884126829345306,4.892921965629876,4.91076836140943,4.900654309068105,4.895452422332753,4.8601985005130945,4.87653501257121,4.8840889965852465,4.918473780889592,4.883918513261206,4.879393587063129,4.872845593674208,4.877046574788676,4.860229429398399,4.897466424599262,4.884292629374388,4.868922530746282,4.861827710205063,4.887971659507775,4.876536022935781,4.861315667709084,4.895257311359031,4.8988091201453585,4.9067282958090255,4.872162871351822,4.872135794561935,4.903099502830584,4.889909372862959,4.8952051821630365,4.889132347460397,4.877097760796915,4.870555154002438,4.885784167312364,4.905797316646544,4.888000598282944,4.889719310584711,4.887720981090211,4.905817086867401,4.87093435002804,4.895215587929498,4.854191867003243,4.891605374437512,4.86970446503293,4.910659837744453,4.914732842225263,4.879033437423399,4.884500836531758,4.898889533638275,4.884770791195508,4.847211034699894,4.861102542906745,4.9024409331096965,4.9080414877856,4.896983886757108,4.8687835612931485,4.90607802139922,4.861003803348348,4.902927613178056,4.891994010870933,4.899174207634124,4.893026209529241,4.900134797844582,4.872187815754156,4.883918513261206,4.889099397495163,4.868974545676169,4.897053720224009,4.895309440832587,4.910603524432615
3.0,4.713053364962487,4.697589161642761,4.677652975276624,4.823251570755409,4.8004407122769654,4.743749295064212,4.71497645930219,4.781946962220345,4.765101947851305,4.821044218086849,4.7851704424156125,4.796805973391161,4.7511159022932805,4.78427921285737,4.775829598758412,4.791597456219448,4.779886341228878,4.802746987345299,4.778864471744934,4.780267684366708,4.778686669865956,4.772640673609706,4.8004407122769654,4.802492220715933,4.778357643918992,4.75345687240109,4.822971383983571,4.815187506347363,4.7225930587139,4.775881165378186,4.738190397910346,4.791929769143324,4.7630122612964385,4.8045345475591015,4.808034475574402,4.784206585349146,4.768863602477372,4.800933957148225,4.79164910247385,4.872289259400686,4.791723177035345,4.7597257036109015,4.741979723937422,4.780013463736527,4.779979184157799,4.782804147512904,4.780729670655553,4.749743180216027,4.749920727641697,4.821591075207768,4.794301461845467,4.751321757650024,4.788532040708564,4.792798933412229,4.8213153967058515,4.746496315652677,4.74897770831741,4.789684918215812,4.793447960044755,4.78848042276566,4.803193352890427,4.773900195085809,4.752350542921612,4.77865815605782,4.822992631338602,4.76371916291124,4.805561705307587,4.791278792138185,4.802385107952291,4.733326589938208,4.802061815915538,4.7063994215286975,4.797048510805129,4.740315635583677,4.8449745376094855,4.834686187643388,4.803415607664283,4.778996113513081,4.826138917058476,4.7450721954983575,4.689997564711954,4.766758451965291,4.810381458009769,4.814796185055817,4.802158662349767,4.747308631593806,4.8026435918417825,4.751012976287233,4.825294404057495,4.796450975665536,4.793160489388315,4.7631152698446595,4.7813476581194205,4.749029133816503,4.791723177035345,4.7733768884747745,4.749794628767997,4.8007998530618625,4.788583658929675,4.821323260681009
4.0,4.414124642182873,4.4089941849695204,4.322258027748038,4.6126168239510665,4.564084894892791,4.406186929326938,4.443036415848819,4.529739631006991,4.511075628572233,4.598566898081337,4.48866556320521,4.583158229784318,4.451721493724008,4.5262450455996905,4.545531675956896,4.590318206071124,4.559186732944986,4.498020006112687,4.549302729112445,4.520113485539932,4.542878032903793,4.536656830338507,4.564084894892791,4.5993585057560615,4.574659342922788,4.452603588482227,4.630212931913629,4.587331359275032,4.417087583143584,4.545582130428876,4.518017096735876,4.543224448816687,4.491407838815941,4.610633042136736,4.585729872929234,4.549821305730833,4.504252099090883,4.543339981309872,4.590368890436037,4.673230075943742,4.543022668975987,4.47977306461754,4.41313523888804,4.534583442950575,4.5258101238130095,4.54208240860737,4.540445441882373,4.463293821296787,4.495409118876195,4.565600181604728,4.512688704576524,4.451921613816753,4.556328665763852,4.519802000070023,4.578602507687393,4.509034151412313,4.4866274907389565,4.56190444445978,4.510159426553155,4.556278167678,4.601314420024127,4.590222504764988,4.4708920897885776,4.549100846312121,4.6123629154096015,4.48273400721729,4.563414444409587,4.508047905186548,4.497668469808617,4.469385619567293,4.518985344182874,4.422307896120666,4.53239775561548,4.513683343550101,4.605560769885747,4.633818339783642,4.545762167418863,4.543180711513617,4.583743054394788,4.43962886796826,4.373677724054929,4.546754121603644,4.605808379729151,4.6480184906283,4.627314383213622,4.467000346427822,4.497919565766887,4.451621435364362,4.6209997264151,4.513476851815715,4.520154265304726,4.491508218369485,4.550844915204825,4.486677654985335,4.543022668975987,4.4828248897720355,4.463343870146107,4.513798943953235,4.556379164129543,4.575888259994356
5.0,3.9170426922994825,3.812311781545716,3.7296651568622847,4.219188727676012,4.077241159713913,3.8554501228943496,3.9060428217993715,4.099716023886353,3.9692142124914565,4.100275407378549,3.9095739476600535,4.178313773337071,3.8826564777208374,4.024966109087282,4.041505200958158,4.1355120305753275,4.117653784991381,3.964822814182486,4.072014691363011,4.0767188466987525,4.1226762483116834,4.008778518950535,4.077241159713913,4.148889573899186,4.131465297003533,3.8864275289261943,4.147587186466363,4.191650203689101,3.827385968618784,4.041553107802207,4.0615856077689685,4.067813458812667,3.9821762342237115,4.149061980406157,4.161238217769596,4.103432121588381,3.9926571862945863,4.088510165527974,4.135560411161503,4.176962008420472,4.0676212090155,3.966000671862884,3.89706784568585,4.040885469273251,3.9991014779690173,4.134660402571876,4.108965540856383,4.004326897611552,4.02303554565068,4.089028722806202,4.086062761610707,3.882844977923028,4.1146974451102345,3.9988155718522833,4.089977372604458,4.07148073660501,3.9744176294690545,4.048406709899169,4.006141240147117,4.114649137073134,4.165944254176216,4.138269408776923,4.01299886474782,4.071822483735587,4.218944524211547,3.9023373171688442,4.0729547976676415,4.004135949415107,3.9644900602259536,3.9289660710661756,4.056905047158701,3.9417967237141713,4.006631270844076,4.143771810148561,4.2103681786015565,4.165881673827539,4.090823843556039,4.122966259361554,4.068134126513858,3.9170328160357717,3.7910857844968535,4.150529924331592,4.1327691136639535,4.244885551261408,4.244371631512334,3.9759864200175703,3.9647277401985748,3.8825622293356163,4.189050050831297,4.059556238241963,3.9991494852415923,3.982271478811946,4.102046856618076,3.9744652052064153,4.0676212090155,3.8965904578643356,4.004374635372121,3.970081394379197,4.114745753430913,4.107039341231529
6.0,3.2556396494223203,3.113386884438129,3.0689549152289506,3.6005277460441896,3.3869051702597757,3.1688212913394485,3.283734160887377,3.389935952420014,3.241872887698826,3.453381412087576,3.111012945738138,3.524729048182231,3.258792765253302,3.2807142634002817,3.366518159146031,3.520646462509665,3.4949446465706138,3.1988873114509797,3.431282793940019,3.4332259159709966,3.5131315397467326,3.329498757252052,3.3869051702597757,3.4769454626934313,3.4249570104109295,3.1957652703216346,3.491813287684494,3.5946372056761886,3.0472818986959984,3.366562455000468,3.4026612584110523,3.306662584384465,3.2723193521547755,3.424377970347192,3.534812745466503,3.390865028841581,3.2518334238553495,3.3874002416599613,3.520691589022872,3.532943345986234,3.3064869281584413,3.325504284582174,3.1976890628273678,3.3392728064148525,3.2844006838941766,3.493552480333855,3.4220743871254933,3.425886903249996,3.3567907011023768,3.4372441152438107,3.3632239499864314,3.2589677281211076,3.3857397456746505,3.316852272453295,3.3488603274980377,3.4436025385770868,3.2469774997064644,3.3511664391096057,3.2237820698997366,3.385695374390482,3.519109356087296,3.4118659268896043,3.351968082143891,3.4311042382282633,3.6002998580508514,3.221302227437431,3.4275492321644174,3.221956451095687,3.1985840572935973,3.254365858284563,3.3928684301692686,3.2710207678974164,3.3853695869504863,3.546421575182982,3.503968737908893,3.4718308926155004,3.3895320087788603,3.5134021431735114,3.352701444673532,3.2585278629179033,3.1478974111704043,3.519415701995407,3.4837242915515874,3.5568581331316493,3.5874654764558374,3.3026738496738233,3.1988006659391863,3.258705285580664,3.557265049505311,3.3787223231522505,3.3171604902011924,3.2724068619485784,3.4190719107197887,3.247021114178452,3.3064869281584413,3.200252127684119,3.425931590431398,3.3268158338277907,3.385784117249571,3.4061392276405957
7.0,2.638792474903087,2.5452180290955635,2.4976906982831175,2.8579167883608396,2.7458667221608817,2.5690989927035215,2.7058845407574315,2.752946218582199,2.596718877481912,2.750580656030354,2.503328562981508,2.829257318666843,2.615686908198237,2.6049763839181077,2.6940935533578383,2.85656078134046,2.86971593384094,2.541658827720785,2.8252272219613372,2.753257129893636,2.887681686666921,2.6512738075775157,2.745866722160882,2.7767319084928976,2.7555569813079512,2.6007034799366524,2.7986965566862625,2.8920483138094735,2.4735327734816064,2.6941339247430025,2.714460129530127,2.6191798392103505,2.6003028594702164,2.7631732721191407,2.8878692435938778,2.7260086193103485,2.5938012332727034,2.7222082284580273,2.856602095598838,2.822377838873993,2.6190205495582304,2.667493017970199,2.542032735332596,2.6940867045576646,2.6303160206110765,2.758750055834133,2.723077212310399,2.723684124948443,2.73474890769038,2.806183089574101,2.6809883691906777,2.6158464268350663,2.7069096469045304,2.6554456525618115,2.662064582829706,2.7878255239648615,2.6054712946779155,2.7247706366177216,2.549309165097115,2.706869271331347,2.80944856638161,2.8030793910197707,2.7557865630243676,2.8250626332342423,2.857710433873695,2.570734126422155,2.7608869659094992,2.547653718390178,2.541383015504435,2.5964228013648945,2.7167368167571277,2.678045996716765,2.723205420580385,2.920604931492556,2.787880352212103,2.7974711754427126,2.724153791966552,2.887930821617125,2.667932464976875,2.6633537001562706,2.5478407210842327,2.8139564219378137,2.817966523767915,2.8095142090301883,2.8786557046623873,2.6378325940507747,2.5415800227032648,2.615607150703823,2.8545455875061014,2.7290469649202036,2.655726288314482,2.6003823502643995,2.7506077092909393,2.6055111256188126,2.6190205495582304,2.575835764905792,2.7237246268815776,2.659089894945981,2.7069500227788326,2.7267262526773988
8.0,2.222891315757746,2.175858640087195,2.1505102917434504,2.374669974251214,2.3270929343954605,2.197250872040681,2.2680897631415955,2.3116173790059213,2.1743857702374694,2.2560776559718208,2.100823515175754,2.303888192204187,2.231866941119946,2.1454591843514237,2.232585025336627,2.422192629840419,2.349018721092982,2.1320628853261807,2.3426230454237404,2.301360063906912,2.400418259002717,2.215710422453249,2.3270929343954605,2.2878464098793474,2.2851102812840045,2.2285274332096616,2.2927148418997603,2.4244859300074273,2.107711340447754,2.2326225640197594,2.2481501844051786,2.2098851410179283,2.1682490643110657,2.27937653601704,2.3645466839494302,2.283943215230339,2.1880161051340465,2.2345518587749083,2.4222313117363483,2.3266304372900897,2.2097359366097296,2.260376221209844,2.1680610244565663,2.2477347603741302,2.222386702086362,2.2932881498050004,2.2719035622860333,2.2838771805088225,2.2315227865256757,2.339090687624291,2.218670772668382,2.2320169977266957,2.280731143239629,2.2017987545068203,2.1937717307531597,2.3401207505466117,2.1959005951269446,2.2430696824675325,2.139097935057552,2.280693365433713,2.3075138433031794,2.345421495311946,2.339753826726991,2.342470512282826,2.3744783086292403,2.1816632427953713,2.2622903806821992,2.1375504406282864,2.1318051507952167,2.201774600599851,2.2579208654444827,2.278646552161902,2.254165623981154,2.501104654874991,2.255169240735369,2.307106752806122,2.2363518148892116,2.4006496060358176,2.222071496081624,2.2097451436315856,2.1495071031115422,2.311755120561101,2.296315536186875,2.3071062283647317,2.372832836209603,2.228525863845442,2.1319892452990614,2.231791914708168,2.324657327648962,2.28903894741747,2.2020597294215105,2.1683231317109475,2.3065630571096842,2.1959379046836203,2.2097359366097296,2.1665309978665563,2.283915001968032,2.19250208906013,2.2807689213584212,2.287862329747468
9.0,1.9898546678135458,1.9570736256390815,1.944921200465705,2.0696941308493257,2.0529869539145116,1.9744038400781916,2.0184427349585414,2.078146136166811,1.95613925646181,2.0128801124616755,1.9032649599046636,2.0382235461644704,2.008272091466142,1.9172953146106209,1.9725144603098672,2.11193124514357,2.044863998461843,1.9194650643828384,2.0541771922970633,2.0274435869013896,2.087604034762502,1.9725490010017994,2.0529869539145116,2.0106236445064094,2.0351321012381596,1.994990796460807,2.008621469071488,2.1165298928285026,1.9175777071970228,1.9725503782493174,2.000940286616837,1.9929184389739918,1.9215982747129623,2.0224939688147656,2.0564837208980773,2.019029016581016,1.9615051198268916,1.96837938125194,2.111967964643965,2.046653754042473,1.9927743222268155,2.021135588979006,1.9461121835140844,2.0097166354911846,1.9693076066225181,2.0334561780489517,2.001365439360522,2.0043246276810556,1.978666060833116,2.0351441177221203,1.9751795532895766,2.0084167275547853,2.0247838794226025,1.9778855408731248,1.953269932627168,2.055489735800549,1.955927236489343,1.973857253997556,1.9329310638642259,2.0247476278928596,2.0215191363635805,2.0752565996385455,2.0846478150091516,2.054031820428293,2.069511811873472,1.977377821334564,2.0035349524024904,1.9314351113016526,1.9192162298615654,1.9945115497051114,1.9864966963755597,2.0270008342091397,2.006084790164008,2.217241682619705,1.9794442939770804,2.0365300018483925,1.9700986931392042,2.0878234937936,1.9716359281214708,1.974246170969466,1.927045800545834,2.0187021038551936,2.019558452298335,2.003134792636693,2.0976317774683784,1.9855616815574553,1.9193939671593951,2.0081997753748833,2.036275328147393,2.025037107119504,1.9781371448142655,1.9216693279132264,2.0217448958507243,1.9559630627773368,1.9927743222268155,1.9245783310040103,2.004360693712728,1.9627650944385118,2.02482013127687,2.03796954796374
