beta,diag,seed,dpsi,index,distance,distance_cum,r2,r2_adjusted
1.6962710515716122,0.103873965195954,56381,1.606060606060606,3315,94.65199416811038,304.108533257454,0.9963580936003804,0.9962996672945041
1.8248042397900643,0.1013575406826147,9319,1.6868686868686869,1117,83.71977066380438,336.0,0.9955541979532077,0.995482874925719
1.7807484784295529,0.1042174804304596,6557,1.6464646464646466,1216,84.92938243034621,337.9097512650382,0.9955035163769408,0.9954313802760361
1.7729930996198502,0.1011916117289249,41786,1.5656565656565657,28514,135.7645019878171,354.922526757601,0.9950393487472148,0.9949597661067958
1.8067600217974848,0.1009665172442581,27196,1.6868686868686869,14617,111.24747188138704,364.1593057989869,0.9947777892836839,0.9946940105021387
1.791303001105759,0.1009380963861388,4691,2.1313131313131315,228,69.93568473962345,369.4563573684989,0.9946247600642798,0.9945385262685196
1.7250319200014843,0.1019900891087928,94757,1.8484848484848486,6821,103.08734160894828,370.8881232932648,0.9945830176626925,0.9944961142027358
1.7334078617631004,0.1054556940239205,10830,1.9292929292929295,27623,131.62066707018317,379.5918861092792,0.9943257899578168,0.9942347598501883
1.734516586206688,0.1041095222656203,60854,1.7272727272727273,19318,116.09048195265622,381.12465152493087,0.9942798733160708,0.994188106577826
1.8010841993994575,0.100525604445001,80166,1.6464646464646466,3616,95.4829827770373,382.8929354271243,0.994226671443859,0.9941340511996428
1.8678436523619864,0.1001389335839671,41926,1.9292929292929295,10923,107.49883720301352,385.6526934950669,0.9941431472610603,0.9940491870566923
1.759906932387144,0.1039802779469169,95905,1.8888888888888888,16622,114.1183596096614,393.0229000961649,0.9939171475981268,0.9938195617307171
1.785683284394971,0.105307702815666,65125,1.9696969696969697,3124,95.09994742374992,393.6762629369467,0.9938969064713193,0.9937989958799501
1.8794485593670067,0.1008423785458959,48819,2.0505050505050506,20626,119.47384651043926,399.0588928967753,0.9937288736151184,0.9936282673094786
1.805888320650514,0.1011063504665345,18928,1.9292929292929295,7323,102.32790430767162,400.0887401564808,0.993696464184452,0.9935953379414219
1.6580641619378853,0.1141553458478313,93293,1.6868686868686869,17717,115.974135047432,401.1122037535133,0.9936641728926581,0.9935625286075136
1.729331000989971,0.1053709162169395,99179,1.6868686868686869,22817,122.22929272478018,402.4972049592394,0.9936203433709915,0.9935179959384406
1.847333287731819,0.1013028692306846,7004,1.7676767676767677,11819,109.40292500660117,402.54316538726624,0.9936188863248983,0.9935165155172763
1.7854544319252834,0.1023962363101967,75190,1.8888888888888888,6522,101.52832117197644,407.6567183305091,0.9934557365420905,0.9933507483582737
1.7884319788002403,0.1045666966172329,95096,1.7676767676767677,8919,106.06601717798212,408.516829518687,0.993428092045945,0.9933226603675377
1.6881641442013284,0.1066005833575958,50345,1.7676767676767677,28719,135.88598161694236,414.5756866966513,0.993231705860364,0.9931231236014394
1.83130986283638,0.10281171134554,6351,2.0101010101010104,27925,132.7328143301422,416.2811549902301,0.993175904932959,0.9930664274719905
1.8067600217974848,0.1009665172442581,27196,1.8888888888888888,14622,113.44602240713422,419.31610987416167,0.9930760382061427,0.9929649586051716
1.8353355362672288,0.1047784240316492,64493,1.7676767676767677,25819,128.01562404644207,419.4162610104668,0.993072730317715,0.9929615976490153
1.7423739982123614,0.1036960853992035,40149,1.8484848484848486,12921,109.73149046650192,419.4794393054325,0.9930706431976356,0.9929594770457261
1.7644379059430717,0.1015838536275188,5616,1.6464646464646466,4316,96.65402216152208,420.3117890328559,0.9930431168403625,0.9929315090891384
1.8372908105974588,0.1000675066276885,52066,1.7676767676767677,24919,125.32358118087753,421.8518697362855,0.9929920414678542,0.9928796143256273
1.6911975644244612,0.1130505215343623,86806,1.5656565656565657,25214,126.21410380777576,422.4570984135549,0.9929719184799193,0.9928591685090089
1.832184922584026,0.1012525755747345,59958,2.0505050505050506,5126,99.98999949995,423.16190754839926,0.9929484482239325,0.9928353217248511
1.805888320650514,0.1011063504665345,18928,1.606060606060606,7315,104.61835403025609,425.6735838644442,0.9928644908652682,0.9927500174566896
1.8133323552849496,0.1026675782423232,31673,1.9292929292929295,17223,115.00869532344063,426.39887429494934,0.9928401542575502,0.9927252904221099
1.818534074993,0.1018161712890245,39123,1.7676767676767677,10719,107.05606008068855,426.4082550795657,0.9928398392205572,0.9927249703310475
1.834173206328012,0.1026577747245719,27117,2.1313131313131315,8528,103.17945531936094,428.1775332732907,0.9927802972288591,0.9926644731202311
