beta,diag,seed
1.487937999239917,0.14094277082930926,0
1.8700005738151653,0.11017722730915815,1
1.666155894508034,0.11789835802644519,2
1.626130175999058,0.12286851008842942,3
1.8283173531770582,0.10339371722576712,4
1.8146872661325273,0.10106062058765143,5
1.7453509481903855,0.12251799651104073,6
1.8462066323682915,0.11316288093876985,7
1.5134928556117662,0.1388334897973923,8
1.2852590478709178,0.17186150897985913,9
1.5922619260788693,0.10102741049781383,10
1.780544515510989,0.11142189300428133,11
1.9776389248493773,0.10133558906533201,12
1.9389312466236142,0.10106007841649017,13
1.9000882210968681,0.1085440336357115,14
1.6389316056487302,0.12856084545262014,15
1.5625677435392384,0.13655067824822448,16
1.7438427356194843,0.11500918311442891,17
2.0369342720676853,0.1146198876182449,18
1.7701180305855642,0.10052828926658114,19
1.6263511213752881,0.12888574312256043,20
1.430592479197929,0.159021089383065,21
1.6872514804850458,0.12085626416592612,22
1.9996640688060325,0.10800435179137893,23
1.7861806570627532,0.10141576425126493,24
1.960882435799604,0.11209886295474744,25
1.780432583897722,0.10198381891127432,26
1.465527595845889,0.1320452892373151,27
1.5485824099155876,0.13597088587611506,28
1.662025218580148,0.11886859031896933,29
1.765099824106888,0.11716847981536212,30
1.5398870834112233,0.12181771839647954,31
1.5055535035013423,0.1562353136739616,32
1.3055047198158836,0.17071426736623294,33
1.9430378599508416,0.10819540098195615,34
1.8737727351708098,0.10077430153381135,35
1.734812825132083,0.11840218583051443,36
1.7142558759058435,0.12920026899872988,37
1.5874026224833955,0.1406731238793683,38
1.7590658852314718,0.10541308896839857,39
1.8692598296872034,0.1119479149502715,40
1.629485960258557,0.12351240266864855,41
1.3279794318051295,0.1411648877090715,42
1.5829422615503668,0.1447485134914011,43
1.8197290966836954,0.12126810542617318,44
1.6264249855847246,0.11575052116151671,45
1.673647288151103,0.1145552338757606,46
1.4968798957936889,0.13571023087006046,47
1.7381156789551322,0.12311039449048775,48
1.4463329750801444,0.16035886771884195,49
1.9087992839163133,0.10627663708784907,50
1.7094882702570238,0.1192894197786312,51
1.6903305682591314,0.11900867323044557,52
