,beta,diag,seed
0,0.1,0.10122092051101872,0
1,0.1,0.10291480876970262,1
2,0.1,0.10460869702838653,2
3,0.1,0.10630258528707043,3
4,0.1,0.10799647354575434,4
5,0.1,0.10969036180443824,5
6,0.1,0.11138425006312214,6
7,0.1,0.11307813832180605,7
8,0.1,0.11477202658048995,8
9,0.1,0.11646591483917385,9
10,0.1,0.11815980309785776,10
11,0.1,0.11985369135654166,11
12,0.1,0.12154757961522555,12
13,0.1,0.12324146787390947,13
14,0.1,0.12493535613259336,14
15,0.1,0.12662924439127726,15
16,0.1,0.12832313264996117,16
17,0.1,0.1300170209086451,17
18,0.1,0.13171090916732897,18
19,0.1,0.13340479742601288,19
20,0.1,0.1350986856846968,20
21,0.1,0.13679257394338068,21
22,0.1,0.1384864622020646,22
23,0.1,0.1401803504607485,23
24,0.1,0.1418742387194324,24
25,0.1,0.1435681269781163,25
26,0.1,0.1452620152368002,26
27,0.1,0.1469559034954841,27
28,0.1,0.148649791754168,28
29,0.1,0.15034368001285192,29
30,0.1,0.1520375682715358,30
31,0.1,0.15373145653021972,31
32,0.1,0.15542534478890363,32
33,0.1,0.15711923304758754,33
34,0.1,0.15881312130627145,34
35,0.1,0.16050700956495534,35
36,0.1,0.16220089782363925,36
37,0.1,0.16389478608232316,37
38,0.1,0.16558867434100705,38
39,0.1,0.16728256259969096,39
40,0.1,0.16897645085837487,40
41,0.1,0.17067033911705876,41
42,0.1,0.17236422737574267,42
43,0.1,0.17405811563442658,43
44,0.1,0.17575200389311046,44
45,0.1,0.17744589215179438,45
46,0.1,0.1791397804104783,46
47,0.1,0.18083366866916217,47
48,0.1,0.18252755692784609,48
49,0.1,0.18422144518653,49
50,0.1,0.18591533344521388,50
51,0.1,0.1876092217038978,51
52,0.1,0.1893031099625817,52
53,0.1,0.1909969982212656,53
54,0.1,0.1926908864799495,54
55,0.1,0.19438477473863341,55
56,0.1,0.1960786629973173,56
57,0.1,0.1977725512560012,57
58,0.1,0.19946643951468512,58
59,0.1,0.201160327773369,59
60,0.1,0.20285421603205292,60
61,0.1,0.20454810429073683,61
62,0.1,0.20624199254942072,62
63,0.1,0.20793588080810466,63
64,0.1,0.20962976906678854,64
65,0.1,0.21132365732547242,65
66,0.1,0.21301754558415636,66
67,0.1,0.21471143384284025,67
68,0.1,0.21640532210152416,68
69,0.1,0.21809921036020807,69
70,0.1,0.21979309861889196,70
71,0.1,0.22148698687757587,71
72,0.1,0.22318087513625978,72
73,0.1,0.22487476339494367,73
74,0.1,0.22656865165362758,74
75,0.1,0.2282625399123115,75
76,0.1,0.22995642817099538,76
77,0.1,0.2316503164296793,77
