time,event,degree,inf_id
0.0,1,3.0,1
0.0,1,59.0,2
0.0,6,59.0,2
0.03131895834475252,1,9.0,3
0.1221738359483594,1,1.0,4
0.1401493718520808,1,33.0,5
0.40074008481885093,1,2.0,6
0.495162997428623,1,4.0,7
0.5654168870887626,6,2.0,6
0.8002794125679156,6,4.0,7
0.9933502061494223,1,14.0,8
1.0326509969878663,18,,0
1.0327339211820328,101,43.0,9
1.0430422653508433,18,,0
1.043058991248073,101,42.0,10
1.0969075659080965,1,46.0,11
1.0981802522418376,1,1.0,12
1.1336273455366936,7,2.0,6
1.1594934982324343,1,50.0,13
1.2041398367944556,8,42.0,10
1.2888000084361866,1,9.0,14
1.3300310544283012,6,46.0,11
1.3500504637652218,1,2.0,15
1.3645288693975195,1,38.0,16
1.3913576586131025,6,38.0,16
1.4451743779481656,6,50.0,13
1.4957283899063416,1,45.0,17
1.5300973245154303,1,11.0,18
1.586505943999211,1,6.0,19
1.5879667357899285,6,33.0,5
1.6109799394082385,6,9.0,3
1.618510091357339,1,60.0,20
1.6465478462908891,1,22.0,21
1.646800160531553,1,19.0,22
1.736080326563984,1,34.0,23
1.7531408586682897,1,6.0,24
1.7849492204296156,7,4.0,7
1.8916466094459325,1,2.0,25
1.9252364128066082,1,2.0,26
1.9371984640454256,6,1.0,12
1.9503169687888042,1,17.0,27
1.96303013643605,1,59.0,28
1.9688500469721089,1,58.0,29
1.9884015726634992,1,29.0,30
2.007448179125469,18,,0
2.007471382748068,101,47.0,31
2.0081598240413476,1,41.0,32
2.0172955111086988,18,,0
2.017317785302961,101,56.0,33
2.0251760158294725,1,42.0,34
2.030648617494511,18,,0
2.030709186702505,101,1.0,35
2.035196123785023,18,,0
2.0352327832895,101,2.0,36
2.0369847336758964,6,19.0,22
2.0421518761186586,18,,0
2.0421830089367785,101,13.0,37
2.0459010608498125,1,59.0,38
2.04872325337083,18,,0
2.048757191874699,101,22.0,39
2.053623170140827,1,7.0,40
2.0647060961315926,1,1.0,41
2.0724144041060004,6,2.0,26
2.078459640050326,1,60.0,42
2.0848755089299487,6,2.0,25
2.093296390774244,6,1.0,4
2.108938582283335,8,13.0,37
2.15667147520442,1,33.0,43
2.165290700550949,1,5.0,44
2.1766002190755502,8,56.0,33
2.176881518054482,6,6.0,24
2.1788575743708622,6,29.0,30
2.181015312012775,8,19.0,22
2.2040892025147545,1,4.0,45
2.2321157723092964,1,1.0,46
2.2346470947343247,1,53.0,47
2.2379309463867125,1,8.0,48
2.2454609859338324,6,34.0,23
2.2456100659391556,1,3.0,49
2.2783873623874404,1,7.0,50
2.321551588470345,1,9.0,51
2.3420834110777493,6,3.0,1
2.3714676568158777,6,5.0,44
2.4135216085411906,6,41.0,32
2.45328664460011,1,59.0,52
2.4565945733136596,1,36.0,53
2.4604978788812293,1,55.0,54
2.4625955241184565,1,42.0,55
2.4653460960959612,1,52.0,56
2.4764061567580598,8,2.0,36
2.4986977178910204,6,14.0,8
2.5197788777121084,6,17.0,27
2.5247081001692218,6,22.0,21
2.5278093383544937,1,1.0,57
2.531080397550426,6,36.0,53
2.550767176505256,1,58.0,58
2.561487676258462,6,9.0,51
2.565762168921835,6,1.0,57
2.5683592487318543,1,44.0,59
2.5792318953447224,1,34.0,60
2.5979998755900735,1,54.0,61
2.613521734568326,1,19.0,62
2.627494270812746,1,46.0,63
2.627869392116217,6,60.0,42
2.633077621253512,9,42.0,10
2.6388931871972736,8,1.0,35
2.6431695837070057,1,15.0,64
2.6659649609702467,1,5.0,65
2.6758027983864348,1,1.0,66
2.6770709693824752,1,52.0,67
2.6809761539280923,1,9.0,68
2.6844304011217828,1,2.0,69
2.701631141706325,6,44.0,59
2.707224138515034,1,9.0,70
2.710013564056627,1,51.0,71
2.7247018085749164,1,47.0,72
2.725968197830357,1,37.0,73
2.729652983432312,1,43.0,74
2.730479139478907,1,3.0,75
2.739813605163997,1,1.0,76
2.7421349405599544,1,2.0,77
2.746757981317591,6,53.0,47
2.7765515397396827,6,55.0,54
2.779755310155819,1,2.0,78
2.7922665339185966,8,29.0,30
2.7938578441128556,6,54.0,61
2.7948777466113683,1,11.0,79
2.8007013207532396,1,41.0,80
2.8033195559978514,9,1.0,35
2.803840114720959,1,1.0,81
2.8053864758690374,1,2.0,82
2.8075677037672793,1,50.0,83
2.807690625444537,1,47.0,84
2.8119633654345804,7,38.0,16
2.812914257212012,1,14.0,85
2.8141887167300643,1,50.0,86
