time,event,degree,inf_id
0.0,1,3.0,1
0.0,1,1.0,2
0.0,6,1.0,2
1.0232271090681229,18,,0
1.023352442139594,101,2.0,3
1.0360802377187461,18,,0
1.036303397423044,101,19.0,4
1.0407671477370122,8,19.0,4
1.3598910859610922,7,1.0,2
1.6504084483126795,6,3.0,1
1.8791770913627583,1,42.0,5
1.9380694063634387,6,42.0,5
1.957041631313538,1,25.0,6
2.015672816845148,18,,0
2.015679462490203,101,40.0,7
2.016852191418384,18,,0
2.0169829588919095,101,53.0,8
2.0190403225775424,18,,0
2.019045111509255,101,56.0,9
2.022085205360858,18,,0
2.0221852782748875,101,38.0,10
2.0245851971728426,1,24.0,11
2.0301637713614054,18,,0
2.0302664307379454,101,4.0,12
2.0422029945454545,18,,0
2.042450482740629,101,2.0,13
2.045156489448425,1,52.0,14
2.047541678997351,1,17.0,15
2.110665101222794,1,49.0,16
2.2323261841520305,1,54.0,17
2.2325106539604067,1,11.0,18
2.2528895256817054,1,49.0,19
2.2556617469023967,1,54.0,20
2.257738003870358,1,2.0,21
2.2645905647329627,1,5.0,22
2.2829012331936918,6,52.0,14
2.3558232267583668,1,10.0,23
2.3640293668495906,1,50.0,24
2.3993985795807697,1,3.0,25
2.3997127284190785,1,4.0,26
2.4252594098380444,1,46.0,27
2.437803167067581,1,7.0,28
2.441986820657532,1,58.0,29
2.4575443690697742,1,5.0,30
2.482606196058251,1,6.0,31
2.4913776173756883,1,35.0,32
2.5071776937228987,6,46.0,27
2.516152210165292,6,17.0,15
2.517310284010425,1,2.0,33
2.5261038138173735,1,2.0,34
2.5483598880730387,1,5.0,35
2.564648303894746,1,16.0,36
2.568858597103081,1,1.0,37
2.586267758637216,1,25.0,38
2.600083754194002,1,49.0,39
2.6426468783494688,6,6.0,31
2.6431512622199,8,2.0,13
2.650993465547685,6,2.0,34
2.661907634459243,6,2.0,33
2.7212757987494114,1,7.0,40
2.721344755401963,1,23.0,41
2.722899473724514,1,34.0,42
2.748589938336087,6,11.0,18
2.756011217643764,6,49.0,16
2.765142679370494,2,4.0,43
2.7664660720591576,6,5.0,30
2.773997131866403,1,15.0,44
2.783041526130934,6,15.0,44
2.7880709869024827,1,21.0,45
2.797198378099395,6,24.0,11
2.797733013208141,1,58.0,46
2.8078762418412784,6,49.0,19
2.8140826785542434,1,17.0,47
2.821617192600289,1,53.0,48
2.8281505701830163,1,59.0,49
2.8526063505406785,6,34.0,42
2.855807000295686,1,5.0,50
2.8600593843382343,7,3.0,1
2.861480144123549,1,2.0,51
2.871482251508899,1,25.0,52
2.8914267836841283,8,53.0,8
2.896127638428963,1,47.0,53
2.914112792656554,1,17.0,54
2.918019018333497,9,2.0,13
2.9211495612028213,1,54.0,55
2.9395737947740868,1,21.0,56
2.943106482406884,1,59.0,57
2.952070110140284,8,4.0,12
2.958454321653472,6,21.0,45
2.985589772226594,1,53.0,58
2.9967578393005536,1,2.0,59
2.9972453814095115,1,58.0,60
3.0056949196602822,18,,0
3.0057447121662286,101,6.0,61
3.012042701119823,18,,0
3.0120777547736233,101,14.0,62
3.0158089745120846,1,3.0,63
3.0205094938275625,18,,0
3.020519583061864,101,48.0,64
3.023331258858952,18,,0
3.023334365667379,101,32.0,65
3.0243371396355174,6,53.0,48
3.0243752232911794,18,,0
3.0244019935755424,101,21.0,66
3.0246226134389556,18,,0
3.024704269471289,101,48.0,67
3.0255492705508025,18,,0
3.025559197895768,101,53.0,68
3.0278177114000204,18,,0
3.0279296076695177,101,1.0,69
3.0300810419443547,18,,0
3.0300872072834792,101,42.0,70
3.0327027526922747,1,1.0,71
3.0355942357547794,18,,0
3.035684792888991,101,49.0,72
3.038001087924588,18,,0
3.038005888824721,101,36.0,73
3.0422974254794206,1,1.0,74
3.046344601375621,6,53.0,58
3.0486024190228065,18,,0
3.048646464935696,101,12.0,75
3.049557769413094,18,,0
3.0495943130504726,101,22.0,76
3.0528671357512476,8,2.0,3
3.0568098001043986,1,7.0,77
3.0609291747836047,9,19.0,4
3.070032595251793,1,34.0,78
3.085505196618356,6,35.0,32
3.085602278886705,1,7.0,79
3.088758109521409,1,48.0,80
3.0919385943726416,1,5.0,81
3.1040892025220934,6,58.0,46
3.1048401434175106,1,16.0,82
3.129971634159797,6,7.0,28
3.1331306517312423,1,53.0,83
3.146928864412036,1,54.0,84
3.149070433368507,1,16.0,85
3.1658916773917496,1,9.0,86
3.176721571300771,1,4.0,87
3.1778566043072183,1,47.0,88
3.179269005739472,1,3.0,89
3.188087306934222,1,25.0,90
3.1890891151735046,1,27.0,91
3.1898224035370957,8,1.0,69
3.1952780839654285,6,2.0,21
3.195585082976199,6,59.0,57
3.1987055842836987,6,47.0,53
3.2000094815574824,6,17.0,47
3.203489882593362,2,2.0,92
3.206788822527469,1,40.0,93
3.2130973928495106,1,7.0,94
3.213125653823071,1,39.0,95
3.214841550306416,8,42.0,5
3.2170644810027036,1,38.0,96
3.2181660983080707,1,11.0,97
3.220715801932159,1,32.0,98
3.229746521737206,8,14.0,62
3.233815665198072,6,53.0,83
3.2371404036653,1,55.0,99
3.239948025828006,6,16.0,85
3.241162647974793,1,17.0,100
3.241506642158061,1,13.0,101
3.241855177952777,6,7.0,94
3.251158545056378,8,12.0,75
3.2556290913961528,8,49.0,16
3.264201981726458,1,25.0,102
3.26499016839062,1,2.0,103
3.2684284703838813,1,40.0,104
3.275110244282002,1,9.0,105
3.2808142360494097,1,9.0,106
3.284283538457779,1,49.0,107
3.288655133109004,1,33.0,108
3.300250619409613,1,4.0,109
3.301204718707499,1,2.0,110
3.3058974400848995,1,2.0,111
3.3220282270366903,1,35.0,112
3.3347467339275223,1,1.0,113
3.3413449049744046,1,38.0,114
3.3421445600941175,6,3.0,89
3.3468801720743975,8,40.0,7
3.3471465197701926,6,35.0,112
3.3488493926608314,1,5.0,115
3.353068117637495,1,17.0,116
3.356594206436908,6,1.0,37
3.3623479026368517,1,4.0,117
3.363612716397573,6,16.0,36
3.366254990131362,6,32.0,98
3.3706870207882655,6,54.0,55
3.3737487681864184,6,4.0,87
3.381909361573077,1,47.0,118
3.395443604009065,1,52.0,119
3.39714879557825,6,39.0,95
3.4020851366211455,1,8.0,120
3.405688294302892,1,3.0,121
3.4140442038104104,1,39.0,122
3.4153198445049044,8,38.0,10
3.4157619614647703,6,5.0,22
3.4239026372395225,1,51.0,123
3.4243719644810997,1,3.0,124
3.4303884075426274,1,53.0,125
3.434776088340766,1,49.0,126
3.4369093988886346,6,25.0,38
3.44313200155091,1,22.0,127
3.447171587659113,1,42.0,128
3.4484341338059314,1,3.0,129
3.4530732455600837,6,3.0,25
3.4578432390949727,1,6.0,130
3.4601043478591262,6,7.0,77
3.4627637732311713,1,5.0,131
3.46357977550966,6,40.0,93
3.470272148396709,1,15.0,132
3.4710591852049175,1,2.0,133
3.472637495452081,1,54.0,134
3.4756103836881107,1,4.0,135
3.4764354342607042,1,4.0,136
3.4768667467003214,6,16.0,82
3.4788579663822157,1,4.0,137
3.4834348579756362,1,54.0,138
3.4867481794664252,1,25.0,139
3.4880794072712127,1,57.0,140
3.4903851416678195,6,4.0,109
3.491140114497583,9,53.0,8
3.496671263967215,6,38.0,96
3.501607523464574,9,42.0,5
3.5023159651925257,6,21.0,56
3.509546642001285,6,4.0,43
3.519734752365535,1,59.0,141
3.520694520297497,6,25.0,52
3.5310915740765534,9,38.0,10
3.537638325380616,6,17.0,116
3.541480470701524,1,56.0,142
3.5421151359291994,6,3.0,63
3.5519038041809097,1,4.0,143
3.5539898975037243,8,35.0,32
3.5542731429637717,1,57.0,144
3.5670727299189644,6,25.0,90
3.5799658869782123,1,9.0,145
3.5835377887919626,1,38.0,146
3.585665144405634,6,7.0,79
3.5868428795250433,1,35.0,147
3.588156640921683,6,4.0,143
3.590171614238045,1,27.0,148
3.5903240842677073,1,8.0,149
3.5924564583661263,1,17.0,150
3.5976186651483646,1,3.0,151
3.5981929094471763,2,43.0,152
3.5993350579835273,1,3.0,153
3.6108461474794473,1,59.0,154
3.6112752051645263,1,2.0,155
3.6255440956539924,1,14.0,156
3.6304991159253324,1,6.0,157
3.631936799365913,1,48.0,158
3.6328779453623823,6,8.0,149
3.635675440104634,6,40.0,104
3.6364124512043743,1,2.0,159
3.6454031657757557,1,41.0,160
3.6511125704740306,6,25.0,102
3.653771071396712,1,3.0,161
3.6537997973684804,1,3.0,162
3.655433128129037,1,44.0,163
3.6572850565646653,6,2.0,159
3.6604232884269923,1,4.0,164
3.6630849169517847,6,3.0,161
3.6648271696755246,1,58.0,165
3.668813295973714,6,57.0,140
3.67032725828117,1,3.0,166
3.6853767977041847,6,13.0,101
3.69064277297769,1,1.0,167
3.6914612145175107,6,54.0,20
3.6926446668214665,1,52.0,168
3.6941727262166983,6,25.0,6
3.6981691501347,1,54.0,169
3.7026029968386034,1,33.0,170
3.7117139427275188,1,2.0,171
3.7128372768833517,1,10.0,172
3.7175426852327607,1,35.0,173
3.725555132297249,1,59.0,174
3.7260706971535,1,6.0,175
3.730307598955778,1,48.0,176
3.73100982031832,1,14.0,177
3.7319236429917613,1,58.0,178
3.7420995873742586,1,51.0,179
3.7429989101969086,6,2.0,133
3.746267328716149,6,15.0,132
3.7470148930975773,1,5.0,180
3.7499018231825043,9,12.0,75
3.750493045985444,6,3.0,121
3.755268494712514,1,3.0,181
3.755541150296544,6,11.0,97
3.761004225022479,6,5.0,180
3.7615850059605953,1,60.0,182
3.7620554707597735,1,4.0,183
3.7663260699675867,6,4.0,164
3.767639950721804,1,2.0,184
3.769153658137856,8,49.0,72
3.76976879581483,6,25.0,139
3.7748003055189527,1,41.0,185
3.7781607570692533,1,5.0,186
3.7784795813122094,6,27.0,148
3.7804296904173107,6,38.0,114
3.7811199716255794,1,33.0,187
3.782277061480333,1,59.0,188
3.7840485745182124,1,11.0,189
3.786421755687046,6,1.0,74
3.78653084402228,1,53.0,190
3.7912564640608934,1,41.0,191
3.795002495580167,1,41.0,192
3.8018370443177307,1,1.0,193
3.8037718830624767,1,23.0,194
3.8087105955697345,6,5.0,115
3.8112745363589333,1,55.0,195
3.814733800332535,8,6.0,61
3.814939959198755,1,2.0,196
3.8167567424154245,1,7.0,197
3.8198736749768734,1,46.0,198
3.827823888609071,1,5.0,199
3.83260550762198,1,6.0,200
3.835058223637836,1,55.0,201
3.8353108958143287,1,1.0,202
3.836708065400329,1,37.0,203
3.838796519235299,1,49.0,204
3.839072405949248,8,42.0,70
3.8425081047311886,1,21.0,205
3.8501987973350307,1,27.0,206
3.8509221092710098,6,6.0,175
3.850972500689137,1,41.0,207
3.8548983659085527,1,9.0,208
3.8549532915594984,6,4.0,26
3.8604745658930923,1,6.0,209
3.8648525935525733,6,23.0,194
3.871386491662327,1,3.0,210
3.872795611625357,1,6.0,211
3.8776635436589664,1,8.0,212
3.8792268747636722,8,36.0,73
3.8819554959424245,6,34.0,78
